task_id,task_name,global_step,average_reward
1,T1: short+no wind,1000,83.6
1,T1: short+no wind,2000,259.6
1,T1: short+no wind,3000,500.0
1,T1: short+no wind,4000,500.0
1,T1: short+no wind,5000,500.0
1,T1: short+no wind,6000,500.0
1,T1: short+no wind,7000,500.0
1,T1: short+no wind,8000,480.2
1,T1: short+no wind,9000,493.6
1,T1: short+no wind,10000,488.4
1,T1: short+no wind,11000,498.6
1,T1: short+no wind,12000,500.0
1,T1: short+no wind,13000,500.0
1,T1: short+no wind,14000,500.0
1,T1: short+no wind,15000,500.0
1,T1: short+no wind,16000,496.2
1,T1: short+no wind,17000,500.0
1,T1: short+no wind,18000,484.8
1,T1: short+no wind,19000,488.6
1,T1: short+no wind,20000,494.2
1,T1: short+no wind,21000,473.2
1,T1: short+no wind,22000,473.2
1,T1: short+no wind,23000,459.0
1,T1: short+no wind,24000,435.4
1,T1: short+no wind,25000,454.0
1,T1: short+no wind,26000,388.8
1,T1: short+no wind,27000,404.2
1,T1: short+no wind,28000,370.0
1,T1: short+no wind,29000,341.0
1,T1: short+no wind,30000,319.6
1,T1: short+no wind,31000,358.0
1,T1: short+no wind,32000,382.0
1,T1: short+no wind,33000,361.6
1,T1: short+no wind,34000,378.4
1,T1: short+no wind,35000,329.0
1,T1: short+no wind,36000,328.4
1,T1: short+no wind,37000,319.2
1,T1: short+no wind,38000,328.6
1,T1: short+no wind,39000,313.2
1,T1: short+no wind,40000,348.6
1,T1: short+no wind,41000,341.0
1,T1: short+no wind,42000,358.6
1,T1: short+no wind,43000,400.8
1,T1: short+no wind,44000,427.4
1,T1: short+no wind,45000,369.0
1,T1: short+no wind,46000,370.0
1,T1: short+no wind,47000,477.8
1,T1: short+no wind,48000,283.6
1,T1: short+no wind,49000,402.4
1,T1: short+no wind,50000,376.8
1,T1: short+no wind,51000,433.0
1,T1: short+no wind,52000,500.0
1,T1: short+no wind,53000,500.0
1,T1: short+no wind,54000,457.6
1,T1: short+no wind,55000,451.8
1,T1: short+no wind,56000,454.4
1,T1: short+no wind,57000,386.8
1,T1: short+no wind,58000,457.0
1,T1: short+no wind,59000,500.0
1,T1: short+no wind,60000,426.0
1,T1: short+no wind,61000,453.4
1,T1: short+no wind,62000,500.0
1,T1: short+no wind,63000,500.0
1,T1: short+no wind,64000,500.0
1,T1: short+no wind,65000,500.0
1,T1: short+no wind,66000,500.0
1,T1: short+no wind,67000,253.4
1,T1: short+no wind,68000,251.0
1,T1: short+no wind,69000,470.8
1,T1: short+no wind,70000,399.0
1,T1: short+no wind,71000,290.0
1,T1: short+no wind,72000,149.8
1,T1: short+no wind,73000,304.2
1,T1: short+no wind,74000,457.6
1,T1: short+no wind,75000,500.0
1,T1: short+no wind,76000,494.0
1,T1: short+no wind,77000,500.0
1,T1: short+no wind,78000,427.0
1,T1: short+no wind,79000,500.0
1,T1: short+no wind,80000,500.0
1,T1: short+no wind,81000,500.0
1,T1: short+no wind,82000,500.0
1,T1: short+no wind,83000,500.0
1,T1: short+no wind,84000,419.0
1,T1: short+no wind,85000,466.4
1,T1: short+no wind,86000,260.8
1,T1: short+no wind,87000,500.0
1,T1: short+no wind,88000,500.0
1,T1: short+no wind,89000,310.4
1,T1: short+no wind,90000,421.4
1,T1: short+no wind,91000,360.4
1,T1: short+no wind,92000,364.8
1,T1: short+no wind,93000,431.0
1,T1: short+no wind,94000,247.6
1,T1: short+no wind,95000,332.6
1,T1: short+no wind,96000,500.0
1,T1: short+no wind,97000,234.8
1,T1: short+no wind,98000,500.0
1,T1: short+no wind,99000,318.8
1,T1: short+no wind,100000,500.0
2,T2: short+wind,1000,93.8
2,T2: short+wind,2000,247.8
2,T2: short+wind,3000,500.0
2,T2: short+wind,4000,500.0
2,T2: short+wind,5000,500.0
2,T2: short+wind,6000,500.0
2,T2: short+wind,7000,500.0
2,T2: short+wind,8000,488.2
