task_id,task_name,global_step,average_reward
1,T1: short+no wind,250,43.0
1,T1: short+no wind,500,70.8
1,T1: short+no wind,750,66.6
1,T1: short+no wind,1000,76.6
1,T1: short+no wind,1250,122.6
1,T1: short+no wind,1500,157.2
1,T1: short+no wind,1750,368.0
1,T1: short+no wind,2000,408.6
1,T1: short+no wind,2250,402.6
1,T1: short+no wind,2500,281.6
1,T1: short+no wind,2750,338.8
1,T1: short+no wind,3000,320.0
1,T1: short+no wind,3250,367.8
1,T1: short+no wind,3500,371.6
1,T1: short+no wind,3750,381.2
1,T1: short+no wind,4000,373.2
1,T1: short+no wind,4250,380.4
1,T1: short+no wind,4500,368.8
1,T1: short+no wind,4750,402.6
1,T1: short+no wind,5000,384.4
1,T1: short+no wind,5250,386.6
1,T1: short+no wind,5500,343.0
1,T1: short+no wind,5750,396.8
1,T1: short+no wind,6000,384.6
1,T1: short+no wind,6250,385.0
1,T1: short+no wind,6500,408.6
1,T1: short+no wind,6750,378.8
1,T1: short+no wind,7000,377.8
1,T1: short+no wind,7250,384.0
1,T1: short+no wind,7500,382.8
1,T1: short+no wind,7750,408.4
1,T1: short+no wind,8000,326.6
1,T1: short+no wind,8250,388.8
1,T1: short+no wind,8500,391.8
1,T1: short+no wind,8750,402.0
1,T1: short+no wind,9000,381.2
1,T1: short+no wind,9250,406.0
1,T1: short+no wind,9500,380.8
1,T1: short+no wind,9750,385.4
1,T1: short+no wind,10000,387.8
1,T1: short+no wind,10250,394.8
1,T1: short+no wind,10500,381.2
1,T1: short+no wind,10750,379.6
1,T1: short+no wind,11000,381.4
1,T1: short+no wind,11250,392.0
1,T1: short+no wind,11500,381.6
1,T1: short+no wind,11750,385.0
1,T1: short+no wind,12000,383.8
1,T1: short+no wind,12250,374.4
1,T1: short+no wind,12500,332.0
1,T1: short+no wind,12750,373.0
1,T1: short+no wind,13000,390.4
1,T1: short+no wind,13250,376.4
1,T1: short+no wind,13500,382.0
1,T1: short+no wind,13750,340.0
1,T1: short+no wind,14000,350.2
1,T1: short+no wind,14250,401.4
1,T1: short+no wind,14500,359.8
1,T1: short+no wind,14750,340.4
1,T1: short+no wind,15000,349.0
1,T1: short+no wind,15250,357.0
1,T1: short+no wind,15500,386.8
1,T1: short+no wind,15750,379.6
1,T1: short+no wind,16000,386.4
1,T1: short+no wind,16250,404.6
1,T1: short+no wind,16500,404.6
1,T1: short+no wind,16750,405.4
1,T1: short+no wind,17000,403.4
1,T1: short+no wind,17250,406.0
1,T1: short+no wind,17500,405.0
1,T1: short+no wind,17750,405.0
1,T1: short+no wind,18000,394.8
1,T1: short+no wind,18250,405.8
1,T1: short+no wind,18500,406.4
1,T1: short+no wind,18750,404.6
1,T1: short+no wind,19000,404.8
1,T1: short+no wind,19250,404.6
1,T1: short+no wind,19500,384.0
1,T1: short+no wind,19750,404.8
1,T1: short+no wind,20000,407.0
1,T1: short+no wind,20250,387.8
1,T1: short+no wind,20500,405.0
1,T1: short+no wind,20750,408.4
1,T1: short+no wind,21000,408.6
1,T1: short+no wind,21250,391.6
1,T1: short+no wind,21500,388.4
1,T1: short+no wind,21750,388.6
1,T1: short+no wind,22000,389.8
1,T1: short+no wind,22250,250.8
1,T1: short+no wind,22500,408.6
1,T1: short+no wind,22750,356.8
1,T1: short+no wind,23000,333.6
1,T1: short+no wind,23250,389.0
1,T1: short+no wind,23500,404.2
1,T1: short+no wind,23750,396.8
1,T1: short+no wind,24000,383.4
1,T1: short+no wind,24250,389.2
1,T1: short+no wind,24500,369.6
1,T1: short+no wind,24750,400.0
1,T1: short+no wind,25000,391.0
2,T2: short+wind,250,38.0
2,T2: short+wind,500,73.8
2,T2: short+wind,750,68.2
2,T2: short+wind,1000,83.8
2,T2: short+wind,1250,118.0
2,T2: short+wind,1500,128.8
2,T2: short+wind,1750,365.6
2,T2: short+wind,2000,407.2
2,T2: short+wind,2250,407.2
2,T2: short+wind,2500,297.0
2,T2: short+wind,2750,370.2
2,T2: short+wind,3000,336.4
2,T2: short+wind,3250,373.4
2,T2: short+wind,3500,376.6
2,T2: short+wind,3750,393.8
2,T2: short+wind,4000,383.8
2,T2: short+wind,4250,394.2
2,T2: short+wind,4500,378.4
2,T2: short+wind,4750,407.2
2,T2: short+wind,5000,394.6
2,T2: short+wind,5250,396.2
2,T2: short+wind,5500,366.6
2,T2: short+wind,5750,407.2
2,T2: short+wind,6000,394.4
2,T2: short+wind,6250,391.4
2,T2: short+wind,6500,407.2
2,T2: short+wind,6750,391.4
2,T2: short+wind,7000,385.2
2,T2: short+wind,7250,392.0
2,T2: short+wind,7500,388.6
2,T2: short+wind,7750,407.0
2,T2: short+wind,8000,336.4
2,T2: short+wind,8250,401.6
2,T2: short+wind,8500,407.0
2,T2: short+wind,8750,407.0
2,T2: short+wind,9000,388.8
2,T2: short+wind,9250,407.0
2,T2: short+wind,9500,388.6
2,T2: short+wind,9750,393.2
2,T2: short+wind,10000,400.4
2,T2: short+wind,10250,407.2
2,T2: short+wind,10500,387.2
2,T2: short+wind,10750,386.2
2,T2: short+wind,11000,388.6
2,T2: short+wind,11250,406.8
2,T2: short+wind,11500,390.4
2,T2: short+wind,11750,393.0
2,T2: short+wind,12000,393.6
2,T2: short+wind,12250,383.0
2,T2: short+wind,12500,344.8
2,T2: short+wind,12750,381.4
2,T2: short+wind,13000,405.4
2,T2: short+wind,13250,385.8
2,T2: short+wind,13500,388.2
2,T2: short+wind,13750,357.2
2,T2: short+wind,14000,365.8
2,T2: short+wind,14250,405.0
2,T2: short+wind,14500,378.2
2,T2: short+wind,14750,353.0
2,T2: short+wind,15000,364.8
2,T2: short+wind,15250,372.0
2,T2: short+wind,15500,395.4
2,T2: short+wind,15750,391.0
2,T2: short+wind,16000,393.4
