task_id,task_name,global_step,average_reward
1,T1: short+no wind,1000,80.6
1,T1: short+no wind,2000,186.8
1,T1: short+no wind,3000,500.0
1,T1: short+no wind,4000,485.0
1,T1: short+no wind,5000,458.4
1,T1: short+no wind,6000,500.0
1,T1: short+no wind,7000,500.0
1,T1: short+no wind,8000,472.4
1,T1: short+no wind,9000,485.0
1,T1: short+no wind,10000,484.4
1,T1: short+no wind,11000,467.6
1,T1: short+no wind,12000,474.4
1,T1: short+no wind,13000,471.2
1,T1: short+no wind,14000,469.0
1,T1: short+no wind,15000,477.6
1,T1: short+no wind,16000,483.8
1,T1: short+no wind,17000,500.0
1,T1: short+no wind,18000,500.0
1,T1: short+no wind,19000,500.0
1,T1: short+no wind,20000,500.0
1,T1: short+no wind,21000,500.0
1,T1: short+no wind,22000,496.2
1,T1: short+no wind,23000,494.4
1,T1: short+no wind,24000,497.8
1,T1: short+no wind,25000,499.6
1,T1: short+no wind,26000,500.0
1,T1: short+no wind,27000,500.0
1,T1: short+no wind,28000,493.8
1,T1: short+no wind,29000,489.2
1,T1: short+no wind,30000,457.4
1,T1: short+no wind,31000,488.8
1,T1: short+no wind,32000,493.8
1,T1: short+no wind,33000,490.8
1,T1: short+no wind,34000,491.0
1,T1: short+no wind,35000,487.2
1,T1: short+no wind,36000,500.0
1,T1: short+no wind,37000,500.0
1,T1: short+no wind,38000,384.8
1,T1: short+no wind,39000,366.4
1,T1: short+no wind,40000,496.2
1,T1: short+no wind,41000,500.0
1,T1: short+no wind,42000,354.2
1,T1: short+no wind,43000,384.6
1,T1: short+no wind,44000,470.8
1,T1: short+no wind,45000,323.0
1,T1: short+no wind,46000,392.2
1,T1: short+no wind,47000,343.8
1,T1: short+no wind,48000,428.8
1,T1: short+no wind,49000,315.4
1,T1: short+no wind,50000,348.6
1,T1: short+no wind,51000,352.8
1,T1: short+no wind,52000,313.4
1,T1: short+no wind,53000,434.4
1,T1: short+no wind,54000,396.0
1,T1: short+no wind,55000,500.0
1,T1: short+no wind,56000,444.6
1,T1: short+no wind,57000,444.6
1,T1: short+no wind,58000,345.8
1,T1: short+no wind,59000,455.0
1,T1: short+no wind,60000,353.6
1,T1: short+no wind,61000,416.6
1,T1: short+no wind,62000,458.2
1,T1: short+no wind,63000,500.0
1,T1: short+no wind,64000,500.0
1,T1: short+no wind,65000,500.0
1,T1: short+no wind,66000,268.4
1,T1: short+no wind,67000,489.8
1,T1: short+no wind,68000,500.0
1,T1: short+no wind,69000,500.0
1,T1: short+no wind,70000,500.0
1,T1: short+no wind,71000,500.0
1,T1: short+no wind,72000,376.4
1,T1: short+no wind,73000,475.0
1,T1: short+no wind,74000,432.4
1,T1: short+no wind,75000,351.6
1,T1: short+no wind,76000,263.6
1,T1: short+no wind,77000,393.0
1,T1: short+no wind,78000,406.0
1,T1: short+no wind,79000,457.0
1,T1: short+no wind,80000,462.8
1,T1: short+no wind,81000,452.0
1,T1: short+no wind,82000,447.4
1,T1: short+no wind,83000,258.6
1,T1: short+no wind,84000,325.4
1,T1: short+no wind,85000,500.0
1,T1: short+no wind,86000,411.6
1,T1: short+no wind,87000,412.0
1,T1: short+no wind,88000,450.0
1,T1: short+no wind,89000,333.4
1,T1: short+no wind,90000,389.2
1,T1: short+no wind,91000,500.0
1,T1: short+no wind,92000,500.0
1,T1: short+no wind,93000,470.6
1,T1: short+no wind,94000,439.8
1,T1: short+no wind,95000,459.4
1,T1: short+no wind,96000,222.8
1,T1: short+no wind,97000,474.4
1,T1: short+no wind,98000,454.2
1,T1: short+no wind,99000,493.0
1,T1: short+no wind,100000,500.0
2,T2: short+wind,1000,85.6
2,T2: short+wind,2000,173.6
2,T2: short+wind,3000,500.0
2,T2: short+wind,4000,418.0
2,T2: short+wind,5000,472.8
2,T2: short+wind,6000,500.0
2,T2: short+wind,7000,500.0
2,T2: short+wind,8000,484.6
2,T2: short+wind,9000,489.8
2,T2: short+wind,10000,481.6
2,T2: short+wind,11000,471.6
2,T2: short+wind,12000,478.4
2,T2: short+wind,13000,479.4
2,T2: short+wind,14000,476.4
2,T2: short+wind,15000,483.8
2,T2: short+wind,16000,486.6
2,T2: short+wind,17000,500.0
2,T2: short+wind,18000,500.0
2,T2: short+wind,19000,500.0
2,T2: short+wind,20000,500.0
2,T2: short+wind,21000,500.0
2,T2: short+wind,22000,495.4
2,T2: short+wind,23000,496.2
2,T2: short+wind,24000,497.8
2,T2: short+wind,25000,495.6
2,T2: short+wind,26000,500.0
2,T2: short+wind,27000,496.8
2,T2: short+wind,28000,500.0
2,T2: short+wind,29000,495.8
2,T2: short+wind,30000,470.0
2,T2: short+wind,31000,495.6
2,T2: short+wind,32000,488.4
2,T2: short+wind,33000,494.2
2,T2: short+wind,34000,500.0
2,T2: short+wind,35000,473.8
2,T2: short+wind,36000,500.0
2,T2: short+wind,37000,500.0
2,T2: short+wind,38000,398.8
2,T2: short+wind,39000,383.2
2,T2: short+wind,40000,500.0
2,T2: short+wind,41000,500.0
2,T2: short+wind,42000,370.4
2,T2: short+wind,43000,385.0
2,T2: short+wind,44000,500.0
2,T2: short+wind,45000,336.8
2,T2: short+wind,46000,413.2
2,T2: short+wind,47000,351.4
2,T2: short+wind,48000,414.8
2,T2: short+wind,49000,334.0
2,T2: short+wind,50000,378.4
2,T2: short+wind,51000,432.8
2,T2: short+wind,52000,322.6
2,T2: short+wind,53000,442.6
2,T2: short+wind,54000,413.6
2,T2: short+wind,55000,500.0
2,T2: short+wind,56000,456.8
2,T2: short+wind,57000,458.0
2,T2: short+wind,58000,318.4
2,T2: short+wind,59000,464.2
2,T2: short+wind,60000,293.4
2,T2: short+wind,61000,329.0
2,T2: short+wind,62000,408.8
2,T2: short+wind,63000,500.0
2,T2: short+wind,64000,416.2
2,T2: short+wind,65000,500.0
2,T2: short+wind,66000,276.2
2,T2: short+wind,67000,441.0
2,T2: short+wind,68000,500.0
2,T2: short+wind,69000,500.0
2,T2: short+wind,70000,250.8
2,T2: short+wind,71000,500.0
2,T2: short+wind,72000,291.2
2,T2: short+wind,73000,419.2
2,T2: short+wind,74000,402.8
2,T2: short+wind,75000,325.4
2,T2: short+wind,76000,270.0
2,T2: short+wind,77000,357.2
2,T2: short+wind,78000,449.6
2,T2: short+wind,79000,458.4
2,T2: short+wind,80000,465.8
2,T2: short+wind,81000,453.2
2,T2: short+wind,82000,448.4
2,T2: short+wind,83000,292.4
2,T2: short+wind,84000,269.8
2,T2: short+wind,85000,500.0
2,T2: short+wind,86000,448.6
2,T2: short+wind,87000,451.2
2,T2: short+wind,88000,469.0
2,T2: short+wind,89000,304.6
2,T2: short+wind,90000,269.4
2,T2: short+wind,91000,500.0
2,T2: short+wind,92000,426.4
2,T2: short+wind,93000,469.8
2,T2: short+wind,94000,387.8
2,T2: short+wind,95000,347.0
2,T2: short+wind,96000,151.8
2,T2: short+wind,97000,426.0
2,T2: short+wind,98000,353.0
2,T2: short+wind,99000,487.0
2,T2: short+wind,100000,500.0
3,T3: long+no wind,1000,109.8
3,T3: long+no wind,2000,270.0
3,T3: long+no wind,3000,500.0
3,T3: long+no wind,4000,500.0
3,T3: long+no wind,5000,477.2
3,T3: long+no wind,6000,500.0
3,T3: long+no wind,7000,500.0
3,T3: long+no wind,8000,486.0
3,T3: long+no wind,9000,500.0
3,T3: long+no wind,10000,494.4
3,T3: long+no wind,11000,483.8
3,T3: long+no wind,12000,490.4
3,T3: long+no wind,13000,488.4
3,T3: long+no wind,14000,485.2
3,T3: long+no wind,15000,495.0
3,T3: long+no wind,16000,497.8
3,T3: long+no wind,17000,500.0
3,T3: long+no wind,18000,500.0
3,T3: long+no wind,19000,500.0
3,T3: long+no wind,20000,500.0
3,T3: long+no wind,21000,500.0
3,T3: long+no wind,22000,500.0
3,T3: long+no wind,23000,500.0
3,T3: long+no wind,24000,500.0
3,T3: long+no wind,25000,500.0
3,T3: long+no wind,26000,500.0
3,T3: long+no wind,27000,500.0
3,T3: long+no wind,28000,500.0
3,T3: long+no wind,29000,500.0
3,T3: long+no wind,30000,472.6
3,T3: long+no wind,31000,499.8
3,T3: long+no wind,32000,500.0
3,T3: long+no wind,33000,500.0
3,T3: long+no wind,34000,500.0
3,T3: long+no wind,35000,489.0
3,T3: long+no wind,36000,500.0
3,T3: long+no wind,37000,500.0
3,T3: long+no wind,38000,394.2
3,T3: long+no wind,39000,376.8
3,T3: long+no wind,40000,500.0
3,T3: long+no wind,41000,500.0
3,T3: long+no wind,42000,367.0
3,T3: long+no wind,43000,406.6
3,T3: long+no wind,44000,500.0
3,T3: long+no wind,45000,327.4
3,T3: long+no wind,46000,428.0
3,T3: long+no wind,47000,335.8
3,T3: long+no wind,48000,423.6
3,T3: long+no wind,49000,322.6
3,T3: long+no wind,50000,363.2
3,T3: long+no wind,51000,361.0
3,T3: long+no wind,52000,321.0
3,T3: long+no wind,53000,443.2
3,T3: long+no wind,54000,403.6
3,T3: long+no wind,55000,500.0
3,T3: long+no wind,56000,447.4
3,T3: long+no wind,57000,454.4
3,T3: long+no wind,58000,338.2
3,T3: long+no wind,59000,500.0
3,T3: long+no wind,60000,352.4
3,T3: long+no wind,61000,409.2
3,T3: long+no wind,62000,464.6
3,T3: long+no wind,63000,500.0
3,T3: long+no wind,64000,500.0
3,T3: long+no wind,65000,500.0
3,T3: long+no wind,66000,275.4
3,T3: long+no wind,67000,496.6
3,T3: long+no wind,68000,500.0
3,T3: long+no wind,69000,500.0
3,T3: long+no wind,70000,500.0
3,T3: long+no wind,71000,500.0
3,T3: long+no wind,72000,379.0
3,T3: long+no wind,73000,494.4
3,T3: long+no wind,74000,453.4
3,T3: long+no wind,75000,398.4
3,T3: long+no wind,76000,268.8
3,T3: long+no wind,77000,413.2
3,T3: long+no wind,78000,407.6
3,T3: long+no wind,79000,458.8
3,T3: long+no wind,80000,466.2
3,T3: long+no wind,81000,454.0
3,T3: long+no wind,82000,449.0
3,T3: long+no wind,83000,453.6
3,T3: long+no wind,84000,327.0
3,T3: long+no wind,85000,500.0
3,T3: long+no wind,86000,417.2
3,T3: long+no wind,87000,415.2
3,T3: long+no wind,88000,471.6
3,T3: long+no wind,89000,336.2
3,T3: long+no wind,90000,447.8
3,T3: long+no wind,91000,500.0
3,T3: long+no wind,92000,500.0
3,T3: long+no wind,93000,471.8
3,T3: long+no wind,94000,440.0
3,T3: long+no wind,95000,490.4
3,T3: long+no wind,96000,312.4
3,T3: long+no wind,97000,475.6
3,T3: long+no wind,98000,490.2
3,T3: long+no wind,99000,500.0
3,T3: long+no wind,100000,500.0
4,T4: long+wind,1000,106.8
4,T4: long+wind,2000,287.0
4,T4: long+wind,3000,500.0
4,T4: long+wind,4000,500.0
4,T4: long+wind,5000,489.0
4,T4: long+wind,6000,500.0
4,T4: long+wind,7000,500.0
4,T4: long+wind,8000,497.8
4,T4: long+wind,9000,493.2
4,T4: long+wind,10000,485.8
4,T4: long+wind,11000,482.4
4,T4: long+wind,12000,490.6
4,T4: long+wind,13000,483.6
4,T4: long+wind,14000,483.6
4,T4: long+wind,15000,489.6
4,T4: long+wind,16000,494.0
4,T4: long+wind,17000,500.0
4,T4: long+wind,18000,500.0
4,T4: long+wind,19000,500.0
4,T4: long+wind,20000,500.0
4,T4: long+wind,21000,500.0
4,T4: long+wind,22000,499.6
4,T4: long+wind,23000,500.0
4,T4: long+wind,24000,500.0
4,T4: long+wind,25000,500.0
4,T4: long+wind,26000,500.0
4,T4: long+wind,27000,500.0
4,T4: long+wind,28000,500.0
4,T4: long+wind,29000,500.0
4,T4: long+wind,30000,482.6
4,T4: long+wind,31000,500.0
4,T4: long+wind,32000,495.2
4,T4: long+wind,33000,500.0
4,T4: long+wind,34000,500.0
4,T4: long+wind,35000,473.2
4,T4: long+wind,36000,500.0
4,T4: long+wind,37000,500.0
4,T4: long+wind,38000,402.4
4,T4: long+wind,39000,389.2
4,T4: long+wind,40000,500.0
4,T4: long+wind,41000,500.0
4,T4: long+wind,42000,390.2
4,T4: long+wind,43000,354.4
4,T4: long+wind,44000,500.0
4,T4: long+wind,45000,338.4
4,T4: long+wind,46000,446.6
4,T4: long+wind,47000,353.8
4,T4: long+wind,48000,397.0
4,T4: long+wind,49000,334.8
4,T4: long+wind,50000,392.2
4,T4: long+wind,51000,423.2
4,T4: long+wind,52000,329.8
4,T4: long+wind,53000,451.6
4,T4: long+wind,54000,420.8
4,T4: long+wind,55000,482.8
4,T4: long+wind,56000,462.4
4,T4: long+wind,57000,462.6
4,T4: long+wind,58000,314.4
4,T4: long+wind,59000,489.0
4,T4: long+wind,60000,341.4
4,T4: long+wind,61000,383.0
4,T4: long+wind,62000,438.4
4,T4: long+wind,63000,500.0
4,T4: long+wind,64000,484.6
4,T4: long+wind,65000,500.0
4,T4: long+wind,66000,281.0
4,T4: long+wind,67000,497.2
4,T4: long+wind,68000,500.0
4,T4: long+wind,69000,500.0
4,T4: long+wind,70000,354.4
4,T4: long+wind,71000,500.0
4,T4: long+wind,72000,368.2
4,T4: long+wind,73000,453.6
