task_id,task_name,global_step,average_reward
1,T1: short+no wind,200,40.5
1,T1: short+no wind,400,46.0
1,T1: short+no wind,600,39.0
1,T1: short+no wind,800,43.5
1,T1: short+no wind,1000,45.5
1,T1: short+no wind,1200,98.5
1,T1: short+no wind,1400,113.5
1,T1: short+no wind,1600,123.5
1,T1: short+no wind,1800,328.0
1,T1: short+no wind,2000,219.5
2,T2: short+wind,200,34.0
2,T2: short+wind,400,38.0
2,T2: short+wind,600,44.0
2,T2: short+wind,800,45.5
2,T2: short+wind,1000,47.0
2,T2: short+wind,1200,67.0
2,T2: short+wind,1400,83.0
2,T2: short+wind,1600,97.0
2,T2: short+wind,1800,132.5
2,T2: short+wind,2000,177.0
3,T3: long+no wind,200,36.5
3,T3: long+no wind,400,44.0
3,T3: long+no wind,600,34.5
3,T3: long+no wind,800,41.0
3,T3: long+no wind,1000,45.0
3,T3: long+no wind,1200,137.5
3,T3: long+no wind,1400,120.0
3,T3: long+no wind,1600,210.0
3,T3: long+no wind,1800,355.5
3,T3: long+no wind,2000,392.0
4,T4: long+wind,200,32.5
4,T4: long+wind,400,39.5
4,T4: long+wind,600,39.0
4,T4: long+wind,800,46.0
4,T4: long+wind,1000,48.5
4,T4: long+wind,1200,145.5
4,T4: long+wind,1400,126.0
4,T4: long+wind,1600,226.0
4,T4: long+wind,1800,358.5
4,T4: long+wind,2000,396.0
