task_id,task_name,global_step,average_reward
1,T1: short+no wind,1000,67.2
1,T1: short+no wind,2000,340.8
1,T1: short+no wind,3000,369.0
1,T1: short+no wind,4000,317.6
1,T1: short+no wind,5000,375.2
1,T1: short+no wind,6000,396.0
1,T1: short+no wind,7000,405.0
1,T1: short+no wind,8000,406.4
1,T1: short+no wind,9000,389.6
1,T1: short+no wind,10000,386.8
1,T1: short+no wind,11000,373.8
1,T1: short+no wind,12000,386.2
1,T1: short+no wind,13000,377.8
1,T1: short+no wind,14000,387.0
1,T1: short+no wind,15000,390.8
1,T1: short+no wind,16000,385.8
1,T1: short+no wind,17000,384.6
1,T1: short+no wind,18000,387.2
1,T1: short+no wind,19000,392.8
1,T1: short+no wind,20000,406.2
1,T1: short+no wind,21000,404.8
1,T1: short+no wind,22000,406.2
1,T1: short+no wind,23000,408.6
1,T1: short+no wind,24000,405.2
1,T1: short+no wind,25000,405.0
1,T1: short+no wind,26000,406.8
1,T1: short+no wind,27000,404.0
1,T1: short+no wind,28000,406.8
1,T1: short+no wind,29000,404.2
1,T1: short+no wind,30000,398.0
1,T1: short+no wind,31000,408.0
1,T1: short+no wind,32000,406.8
1,T1: short+no wind,33000,384.6
1,T1: short+no wind,34000,405.8
1,T1: short+no wind,35000,408.2
1,T1: short+no wind,36000,282.2
1,T1: short+no wind,37000,408.6
1,T1: short+no wind,38000,276.0
1,T1: short+no wind,39000,408.6
1,T1: short+no wind,40000,353.4
1,T1: short+no wind,41000,276.2
1,T1: short+no wind,42000,338.4
1,T1: short+no wind,43000,347.4
1,T1: short+no wind,44000,277.0
1,T1: short+no wind,45000,242.4
1,T1: short+no wind,46000,408.6
1,T1: short+no wind,47000,398.0
1,T1: short+no wind,48000,293.0
1,T1: short+no wind,49000,377.6
1,T1: short+no wind,50000,333.4
1,T1: short+no wind,51000,287.6
1,T1: short+no wind,52000,354.8
1,T1: short+no wind,53000,283.2
1,T1: short+no wind,54000,360.6
1,T1: short+no wind,55000,386.0
1,T1: short+no wind,56000,199.2
1,T1: short+no wind,57000,297.0
1,T1: short+no wind,58000,324.8
1,T1: short+no wind,59000,386.0
1,T1: short+no wind,60000,393.4
1,T1: short+no wind,61000,383.8
1,T1: short+no wind,62000,368.4
1,T1: short+no wind,63000,386.4
1,T1: short+no wind,64000,408.6
1,T1: short+no wind,65000,408.6
1,T1: short+no wind,66000,252.8
1,T1: short+no wind,67000,133.8
1,T1: short+no wind,68000,156.8
1,T1: short+no wind,69000,345.2
1,T1: short+no wind,70000,405.6
1,T1: short+no wind,71000,235.6
1,T1: short+no wind,72000,406.4
1,T1: short+no wind,73000,387.8
1,T1: short+no wind,74000,262.4
1,T1: short+no wind,75000,101.6
1,T1: short+no wind,76000,179.0
1,T1: short+no wind,77000,306.2
1,T1: short+no wind,78000,189.2
1,T1: short+no wind,79000,240.2
1,T1: short+no wind,80000,240.8
1,T1: short+no wind,81000,408.2
1,T1: short+no wind,82000,287.8
1,T1: short+no wind,83000,407.4
1,T1: short+no wind,84000,60.6
1,T1: short+no wind,85000,59.4
1,T1: short+no wind,86000,59.2
1,T1: short+no wind,87000,66.2
1,T1: short+no wind,88000,406.4
1,T1: short+no wind,89000,406.2
1,T1: short+no wind,90000,406.2
1,T1: short+no wind,91000,260.2
1,T1: short+no wind,92000,202.4
1,T1: short+no wind,93000,160.6
1,T1: short+no wind,94000,180.6
1,T1: short+no wind,95000,406.6
1,T1: short+no wind,96000,406.6
1,T1: short+no wind,97000,406.8
1,T1: short+no wind,98000,100.0
1,T1: short+no wind,99000,93.8
1,T1: short+no wind,100000,407.0
2,T2: short+wind,1000,73.0
2,T2: short+wind,2000,341.0
2,T2: short+wind,3000,378.4
2,T2: short+wind,4000,346.2
2,T2: short+wind,5000,389.2
2,T2: short+wind,6000,407.2
2,T2: short+wind,7000,407.2
2,T2: short+wind,8000,406.8
2,T2: short+wind,9000,407.2
2,T2: short+wind,10000,401.6
2,T2: short+wind,11000,380.0
