task_id,task_name,global_step,average_reward
1,T1: short+no wind,1000,72.6
1,T1: short+no wind,2000,331.2
1,T1: short+no wind,3000,297.2
1,T1: short+no wind,4000,238.6
1,T1: short+no wind,5000,231.4
1,T1: short+no wind,6000,186.4
1,T1: short+no wind,7000,181.6
1,T1: short+no wind,8000,169.2
1,T1: short+no wind,9000,166.4
1,T1: short+no wind,10000,162.8
1,T1: short+no wind,11000,154.6
1,T1: short+no wind,12000,148.2
1,T1: short+no wind,13000,119.2
1,T1: short+no wind,14000,98.4
1,T1: short+no wind,15000,83.6
1,T1: short+no wind,16000,57.6
1,T1: short+no wind,17000,54.8
1,T1: short+no wind,18000,77.6
1,T1: short+no wind,19000,66.2
1,T1: short+no wind,20000,36.2
1,T1: short+no wind,21000,29.8
1,T1: short+no wind,22000,27.0
1,T1: short+no wind,23000,26.8
1,T1: short+no wind,24000,27.0
1,T1: short+no wind,25000,26.8
1,T1: short+no wind,26000,26.8
1,T1: short+no wind,27000,41.6
1,T1: short+no wind,28000,45.0
1,T1: short+no wind,29000,33.4
1,T1: short+no wind,30000,49.6
1,T1: short+no wind,31000,57.0
1,T1: short+no wind,32000,58.0
1,T1: short+no wind,33000,60.8
1,T1: short+no wind,34000,139.4
1,T1: short+no wind,35000,105.8
1,T1: short+no wind,36000,139.0
1,T1: short+no wind,37000,136.2
1,T1: short+no wind,38000,106.0
1,T1: short+no wind,39000,104.0
1,T1: short+no wind,40000,67.0
1,T1: short+no wind,41000,70.0
1,T1: short+no wind,42000,85.0
1,T1: short+no wind,43000,65.2
1,T1: short+no wind,44000,55.2
1,T1: short+no wind,45000,54.6
1,T1: short+no wind,46000,36.0
1,T1: short+no wind,47000,53.2
1,T1: short+no wind,48000,30.4
1,T1: short+no wind,49000,68.6
1,T1: short+no wind,50000,68.8
1,T1: short+no wind,51000,64.8
1,T1: short+no wind,52000,54.6
1,T1: short+no wind,53000,46.0
1,T1: short+no wind,54000,53.8
1,T1: short+no wind,55000,53.8
1,T1: short+no wind,56000,53.8
1,T1: short+no wind,57000,57.4
1,T1: short+no wind,58000,82.8
1,T1: short+no wind,59000,60.0
1,T1: short+no wind,60000,71.0
1,T1: short+no wind,61000,58.0
1,T1: short+no wind,62000,48.6
1,T1: short+no wind,63000,45.2
1,T1: short+no wind,64000,43.6
1,T1: short+no wind,65000,48.6
1,T1: short+no wind,66000,48.6
1,T1: short+no wind,67000,49.0
1,T1: short+no wind,68000,84.4
1,T1: short+no wind,69000,54.2
1,T1: short+no wind,70000,50.8
1,T1: short+no wind,71000,43.4
1,T1: short+no wind,72000,42.4
1,T1: short+no wind,73000,108.4
1,T1: short+no wind,74000,56.4
1,T1: short+no wind,75000,47.4
1,T1: short+no wind,76000,41.0
1,T1: short+no wind,77000,31.8
1,T1: short+no wind,78000,40.0
1,T1: short+no wind,79000,66.6
1,T1: short+no wind,80000,38.4
1,T1: short+no wind,81000,62.4
1,T1: short+no wind,82000,43.4
1,T1: short+no wind,83000,61.2
1,T1: short+no wind,84000,68.8
1,T1: short+no wind,85000,72.8
1,T1: short+no wind,86000,59.6
1,T1: short+no wind,87000,49.4
1,T1: short+no wind,88000,42.4
1,T1: short+no wind,89000,40.6
1,T1: short+no wind,90000,37.8
1,T1: short+no wind,91000,34.4
1,T1: short+no wind,92000,33.8
1,T1: short+no wind,93000,37.2
1,T1: short+no wind,94000,101.0
1,T1: short+no wind,95000,46.4
1,T1: short+no wind,96000,47.6
1,T1: short+no wind,97000,55.6
