task_id,task_name,global_step,average_reward
1,T1: short+no wind,1000,142.4
1,T1: short+no wind,2000,175.2
1,T1: short+no wind,3000,330.8
1,T1: short+no wind,4000,227.6
1,T1: short+no wind,5000,157.4
1,T1: short+no wind,6000,171.0
1,T1: short+no wind,7000,190.0
1,T1: short+no wind,8000,186.6
1,T1: short+no wind,9000,142.8
1,T1: short+no wind,10000,147.8
1,T1: short+no wind,11000,141.8
1,T1: short+no wind,12000,128.0
1,T1: short+no wind,13000,115.8
1,T1: short+no wind,14000,100.6
1,T1: short+no wind,15000,154.0
1,T1: short+no wind,16000,59.0
1,T1: short+no wind,17000,46.8
1,T1: short+no wind,18000,175.2
1,T1: short+no wind,19000,54.0
1,T1: short+no wind,20000,33.2
1,T1: short+no wind,21000,30.0
1,T1: short+no wind,22000,29.8
1,T1: short+no wind,23000,30.2
1,T1: short+no wind,24000,30.0
1,T1: short+no wind,25000,25.4
1,T1: short+no wind,26000,32.0
1,T1: short+no wind,27000,32.0
1,T1: short+no wind,28000,24.2
1,T1: short+no wind,29000,40.2
1,T1: short+no wind,30000,40.0
1,T1: short+no wind,31000,39.4
1,T1: short+no wind,32000,71.2
1,T1: short+no wind,33000,76.0
1,T1: short+no wind,34000,72.2
1,T1: short+no wind,35000,121.2
1,T1: short+no wind,36000,65.0
1,T1: short+no wind,37000,79.4
1,T1: short+no wind,38000,73.2
1,T1: short+no wind,39000,63.8
1,T1: short+no wind,40000,64.8
1,T1: short+no wind,41000,59.6
1,T1: short+no wind,42000,64.2
1,T1: short+no wind,43000,43.6
1,T1: short+no wind,44000,58.2
1,T1: short+no wind,45000,56.6
1,T1: short+no wind,46000,60.2
1,T1: short+no wind,47000,56.8
1,T1: short+no wind,48000,50.0
1,T1: short+no wind,49000,48.0
1,T1: short+no wind,50000,48.2
1,T1: short+no wind,51000,42.6
1,T1: short+no wind,52000,33.2
1,T1: short+no wind,53000,405.4
1,T1: short+no wind,54000,58.2
1,T1: short+no wind,55000,53.8
1,T1: short+no wind,56000,101.6
1,T1: short+no wind,57000,99.6
1,T1: short+no wind,58000,142.4
1,T1: short+no wind,59000,37.2
1,T1: short+no wind,60000,320.0
1,T1: short+no wind,61000,210.0
1,T1: short+no wind,62000,281.0
1,T1: short+no wind,63000,210.4
1,T1: short+no wind,64000,39.6
1,T1: short+no wind,65000,370.4
1,T1: short+no wind,66000,47.6
1,T1: short+no wind,67000,55.8
1,T1: short+no wind,68000,58.6
1,T1: short+no wind,69000,60.2
1,T1: short+no wind,70000,40.6
1,T1: short+no wind,71000,77.4
1,T1: short+no wind,72000,53.6
1,T1: short+no wind,73000,44.0
1,T1: short+no wind,74000,68.2
1,T1: short+no wind,75000,67.2
1,T1: short+no wind,76000,59.2
1,T1: short+no wind,77000,43.8
1,T1: short+no wind,78000,59.2
1,T1: short+no wind,79000,57.6
1,T1: short+no wind,80000,63.2
1,T1: short+no wind,81000,60.0
1,T1: short+no wind,82000,54.4
1,T1: short+no wind,83000,64.2
1,T1: short+no wind,84000,64.8
1,T1: short+no wind,85000,318.8
1,T1: short+no wind,86000,146.8
1,T1: short+no wind,87000,64.0
1,T1: short+no wind,88000,40.4
1,T1: short+no wind,89000,40.2
1,T1: short+no wind,90000,33.2
1,T1: short+no wind,91000,49.2
1,T1: short+no wind,92000,51.8
1,T1: short+no wind,93000,78.8
1,T1: short+no wind,94000,82.0
1,T1: short+no wind,95000,61.8
1,T1: short+no wind,96000,54.2
1,T1: short+no wind,97000,45.8
1,T1: short+no wind,98000,38.4
1,T1: short+no wind,99000,40.6
1,T1: short+no wind,100000,44.0
2,T2: short+wind,1000,168.8
2,T2: short+wind,2000,116.6
2,T2: short+wind,3000,407.2
2,T2: short+wind,4000,220.4
2,T2: short+wind,5000,162.2
2,T2: short+wind,6000,171.2
2,T2: short+wind,7000,187.4
2,T2: short+wind,8000,183.6
2,T2: short+wind,9000,144.2
2,T2: short+wind,10000,153.4
2,T2: short+wind,11000,148.0
2,T2: short+wind,12000,133.6
2,T2: short+wind,13000,121.2
2,T2: short+wind,14000,100.6
2,T2: short+wind,15000,161.4
2,T2: short+wind,16000,58.2
2,T2: short+wind,17000,49.2
2,T2: short+wind,18000,207.4
2,T2: short+wind,19000,79.4
2,T2: short+wind,20000,35.6
2,T2: short+wind,21000,32.2
2,T2: short+wind,22000,32.2
2,T2: short+wind,23000,32.0
2,T2: short+wind,24000,32.2
2,T2: short+wind,25000,26.4
2,T2: short+wind,26000,35.4
2,T2: short+wind,27000,34.4
2,T2: short+wind,28000,24.8
2,T2: short+wind,29000,57.8
2,T2: short+wind,30000,58.0
2,T2: short+wind,31000,57.4
2,T2: short+wind,32000,87.8
2,T2: short+wind,33000,95.4
2,T2: short+wind,34000,90.8
2,T2: short+wind,35000,124.6
2,T2: short+wind,36000,97.0
2,T2: short+wind,37000,110.8
2,T2: short+wind,38000,92.8
2,T2: short+wind,39000,82.6
2,T2: short+wind,40000,84.0
2,T2: short+wind,41000,79.4
2,T2: short+wind,42000,87.2
2,T2: short+wind,43000,67.8
2,T2: short+wind,44000,79.4
2,T2: short+wind,45000,81.4
2,T2: short+wind,46000,83.8
2,T2: short+wind,47000,81.6
2,T2: short+wind,48000,69.2
2,T2: short+wind,49000,62.0
2,T2: short+wind,50000,62.4
2,T2: short+wind,51000,52.0
2,T2: short+wind,52000,40.6
2,T2: short+wind,53000,400.2
2,T2: short+wind,54000,63.6
2,T2: short+wind,55000,60.2
2,T2: short+wind,56000,113.2
2,T2: short+wind,57000,297.0
2,T2: short+wind,58000,361.4
2,T2: short+wind,59000,39.6
2,T2: short+wind,60000,369.0
2,T2: short+wind,61000,217.6
2,T2: short+wind,62000,386.6
2,T2: short+wind,63000,229.6
2,T2: short+wind,64000,42.0
2,T2: short+wind,65000,407.2
2,T2: short+wind,66000,65.0
2,T2: short+wind,67000,58.4
2,T2: short+wind,68000,61.2
2,T2: short+wind,69000,62.2
2,T2: short+wind,70000,41.2
2,T2: short+wind,71000,80.8
2,T2: short+wind,72000,52.4
2,T2: short+wind,73000,72.2
2,T2: short+wind,74000,66.8
2,T2: short+wind,75000,64.8
2,T2: short+wind,76000,98.6
2,T2: short+wind,77000,47.0
2,T2: short+wind,78000,60.8
2,T2: short+wind,79000,59.4
2,T2: short+wind,80000,67.6
2,T2: short+wind,81000,62.6
2,T2: short+wind,82000,56.8
2,T2: short+wind,83000,83.8
2,T2: short+wind,84000,115.6
2,T2: short+wind,85000,188.4
2,T2: short+wind,86000,173.0
2,T2: short+wind,87000,142.0
2,T2: short+wind,88000,55.0
2,T2: short+wind,89000,51.6
2,T2: short+wind,90000,35.6
2,T2: short+wind,91000,57.6
2,T2: short+wind,92000,67.0
2,T2: short+wind,93000,82.2
2,T2: short+wind,94000,73.6
2,T2: short+wind,95000,62.4
2,T2: short+wind,96000,56.8
2,T2: short+wind,97000,48.2
2,T2: short+wind,98000,40.4
2,T2: short+wind,99000,44.8
2,T2: short+wind,100000,53.6
3,T3: long+no wind,1000,187.8
3,T3: long+no wind,2000,416.6
3,T3: long+no wind,3000,419.8
3,T3: long+no wind,4000,482.2
3,T3: long+no wind,5000,195.2
3,T3: long+no wind,6000,198.2
3,T3: long+no wind,7000,220.4
3,T3: long+no wind,8000,227.4
3,T3: long+no wind,9000,236.4
3,T3: long+no wind,10000,245.8
3,T3: long+no wind,11000,247.8
3,T3: long+no wind,12000,202.4
3,T3: long+no wind,13000,178.8
3,T3: long+no wind,14000,151.8
3,T3: long+no wind,15000,176.6
3,T3: long+no wind,16000,97.0
3,T3: long+no wind,17000,51.6
3,T3: long+no wind,18000,202.6
3,T3: long+no wind,19000,125.2
3,T3: long+no wind,20000,39.4
3,T3: long+no wind,21000,42.0
3,T3: long+no wind,22000,32.4
3,T3: long+no wind,23000,32.2
3,T3: long+no wind,24000,33.4
3,T3: long+no wind,25000,29.6
3,T3: long+no wind,26000,39.4
3,T3: long+no wind,27000,36.8
3,T3: long+no wind,28000,26.4
3,T3: long+no wind,29000,103.2
3,T3: long+no wind,30000,85.2
3,T3: long+no wind,31000,83.2
3,T3: long+no wind,32000,143.4
3,T3: long+no wind,33000,176.0
3,T3: long+no wind,34000,234.4
3,T3: long+no wind,35000,188.6
3,T3: long+no wind,36000,218.2
3,T3: long+no wind,37000,147.0
3,T3: long+no wind,38000,143.2
3,T3: long+no wind,39000,138.0
3,T3: long+no wind,40000,137.8
3,T3: long+no wind,41000,133.8
