task_id,task_name,global_step,average_reward
1,T1: short+no wind,1000,47.4
1,T1: short+no wind,2000,203.8
1,T1: short+no wind,3000,258.8
1,T1: short+no wind,4000,252.6
1,T1: short+no wind,5000,183.2
1,T1: short+no wind,6000,177.8
1,T1: short+no wind,7000,204.0
1,T1: short+no wind,8000,202.0
1,T1: short+no wind,9000,206.0
1,T1: short+no wind,10000,213.6
1,T1: short+no wind,11000,256.6
1,T1: short+no wind,12000,252.2
1,T1: short+no wind,13000,261.6
1,T1: short+no wind,14000,253.8
1,T1: short+no wind,15000,265.8
1,T1: short+no wind,16000,257.4
1,T1: short+no wind,17000,270.4
1,T1: short+no wind,18000,265.2
1,T1: short+no wind,19000,306.8
1,T1: short+no wind,20000,313.8
1,T1: short+no wind,21000,310.8
1,T1: short+no wind,22000,307.8
1,T1: short+no wind,23000,320.8
1,T1: short+no wind,24000,316.2
1,T1: short+no wind,25000,321.2
1,T1: short+no wind,26000,336.0
1,T1: short+no wind,27000,366.4
1,T1: short+no wind,28000,396.0
1,T1: short+no wind,29000,379.0
1,T1: short+no wind,30000,382.4
1,T1: short+no wind,31000,398.0
1,T1: short+no wind,32000,391.8
1,T1: short+no wind,33000,386.8
1,T1: short+no wind,34000,420.8
1,T1: short+no wind,35000,421.8
1,T1: short+no wind,36000,379.4
1,T1: short+no wind,37000,426.6
1,T1: short+no wind,38000,315.6
1,T1: short+no wind,39000,278.4
1,T1: short+no wind,40000,354.2
1,T1: short+no wind,41000,292.6
1,T1: short+no wind,42000,367.2
1,T1: short+no wind,43000,325.8
1,T1: short+no wind,44000,345.8
1,T1: short+no wind,45000,254.8
1,T1: short+no wind,46000,406.2
1,T1: short+no wind,47000,497.2
1,T1: short+no wind,48000,388.6
1,T1: short+no wind,49000,276.4
1,T1: short+no wind,50000,332.8
1,T1: short+no wind,51000,421.0
1,T1: short+no wind,52000,357.6
1,T1: short+no wind,53000,437.6
1,T1: short+no wind,54000,412.8
1,T1: short+no wind,55000,418.4
1,T1: short+no wind,56000,340.4
1,T1: short+no wind,57000,358.2
1,T1: short+no wind,58000,426.4
1,T1: short+no wind,59000,390.8
1,T1: short+no wind,60000,461.6
1,T1: short+no wind,61000,414.2
1,T1: short+no wind,62000,382.0
1,T1: short+no wind,63000,393.4
1,T1: short+no wind,64000,346.4
1,T1: short+no wind,65000,422.4
1,T1: short+no wind,66000,456.4
1,T1: short+no wind,67000,454.4
1,T1: short+no wind,68000,372.0
1,T1: short+no wind,69000,438.0
1,T1: short+no wind,70000,492.0
1,T1: short+no wind,71000,488.2
1,T1: short+no wind,72000,420.8
1,T1: short+no wind,73000,461.8
1,T1: short+no wind,74000,500.0
1,T1: short+no wind,75000,296.4
1,T1: short+no wind,76000,229.4
1,T1: short+no wind,77000,379.4
1,T1: short+no wind,78000,418.2
1,T1: short+no wind,79000,500.0
1,T1: short+no wind,80000,500.0
1,T1: short+no wind,81000,460.8
1,T1: short+no wind,82000,500.0
1,T1: short+no wind,83000,360.6
1,T1: short+no wind,84000,433.0
1,T1: short+no wind,85000,340.4
1,T1: short+no wind,86000,478.8
1,T1: short+no wind,87000,293.2
1,T1: short+no wind,88000,445.2
1,T1: short+no wind,89000,361.2
1,T1: short+no wind,90000,500.0
1,T1: short+no wind,91000,500.0
1,T1: short+no wind,92000,323.6
1,T1: short+no wind,93000,183.4
1,T1: short+no wind,94000,90.8
1,T1: short+no wind,95000,458.6
1,T1: short+no wind,96000,382.2
1,T1: short+no wind,97000,458.4
1,T1: short+no wind,98000,476.4
1,T1: short+no wind,99000,476.8
1,T1: short+no wind,100000,500.0
2,T2: short+wind,1000,53.2
2,T2: short+wind,2000,239.2
2,T2: short+wind,3000,258.6
2,T2: short+wind,4000,277.4
2,T2: short+wind,5000,208.6
2,T2: short+wind,6000,196.8
2,T2: short+wind,7000,222.6
2,T2: short+wind,8000,224.6
2,T2: short+wind,9000,226.8
2,T2: short+wind,10000,223.0
2,T2: short+wind,11000,267.2
2,T2: short+wind,12000,272.4
2,T2: short+wind,13000,272.0
2,T2: short+wind,14000,274.2
2,T2: short+wind,15000,282.2
2,T2: short+wind,16000,264.0
2,T2: short+wind,17000,288.0
2,T2: short+wind,18000,282.6
2,T2: short+wind,19000,317.2
2,T2: short+wind,20000,327.2
