task_id,task_name,global_step,average_reward
1,T1: short+no wind,1000,47.0
1,T1: short+no wind,2000,193.2
1,T1: short+no wind,3000,196.2
1,T1: short+no wind,4000,297.8
1,T1: short+no wind,5000,283.0
1,T1: short+no wind,6000,305.0
1,T1: short+no wind,7000,251.0
1,T1: short+no wind,8000,277.8
1,T1: short+no wind,9000,262.6
1,T1: short+no wind,10000,284.6
1,T1: short+no wind,11000,279.0
1,T1: short+no wind,12000,280.6
1,T1: short+no wind,13000,290.2
1,T1: short+no wind,14000,308.4
1,T1: short+no wind,15000,314.6
1,T1: short+no wind,16000,335.6
1,T1: short+no wind,17000,343.0
1,T1: short+no wind,18000,390.4
1,T1: short+no wind,19000,427.2
1,T1: short+no wind,20000,402.8
1,T1: short+no wind,21000,393.6
1,T1: short+no wind,22000,401.0
1,T1: short+no wind,23000,408.0
1,T1: short+no wind,24000,385.2
1,T1: short+no wind,25000,364.0
1,T1: short+no wind,26000,355.2
1,T1: short+no wind,27000,347.8
1,T1: short+no wind,28000,342.6
1,T1: short+no wind,29000,362.0
1,T1: short+no wind,30000,340.4
1,T1: short+no wind,31000,340.4
1,T1: short+no wind,32000,340.0
1,T1: short+no wind,33000,345.8
1,T1: short+no wind,34000,338.2
1,T1: short+no wind,35000,336.4
1,T1: short+no wind,36000,312.4
1,T1: short+no wind,37000,324.4
1,T1: short+no wind,38000,284.2
1,T1: short+no wind,39000,273.6
1,T1: short+no wind,40000,237.6
1,T1: short+no wind,41000,244.8
1,T1: short+no wind,42000,263.2
1,T1: short+no wind,43000,271.0
1,T1: short+no wind,44000,306.6
1,T1: short+no wind,45000,315.0
1,T1: short+no wind,46000,300.4
1,T1: short+no wind,47000,296.0
1,T1: short+no wind,48000,295.6
1,T1: short+no wind,49000,263.4
1,T1: short+no wind,50000,270.2
1,T1: short+no wind,51000,316.2
1,T1: short+no wind,52000,288.6
1,T1: short+no wind,53000,429.6
1,T1: short+no wind,54000,407.0
1,T1: short+no wind,55000,421.4
1,T1: short+no wind,56000,305.4
1,T1: short+no wind,57000,313.8
1,T1: short+no wind,58000,448.2
1,T1: short+no wind,59000,416.4
