task_id,task_name,global_step,average_reward
1,T1: short+no wind,1000,42.2
1,T1: short+no wind,2000,162.6
1,T1: short+no wind,3000,189.6
1,T1: short+no wind,4000,316.8
1,T1: short+no wind,5000,331.2
1,T1: short+no wind,6000,324.8
1,T1: short+no wind,7000,338.0
1,T1: short+no wind,8000,251.2
1,T1: short+no wind,9000,238.0
1,T1: short+no wind,10000,197.2
1,T1: short+no wind,11000,176.6
1,T1: short+no wind,12000,187.8
1,T1: short+no wind,13000,197.6
1,T1: short+no wind,14000,194.6
1,T1: short+no wind,15000,207.0
1,T1: short+no wind,16000,194.4
1,T1: short+no wind,17000,184.6
1,T1: short+no wind,18000,173.0
1,T1: short+no wind,19000,171.0
1,T1: short+no wind,20000,180.6
1,T1: short+no wind,21000,183.0
1,T1: short+no wind,22000,187.8
1,T1: short+no wind,23000,205.6
1,T1: short+no wind,24000,204.2
1,T1: short+no wind,25000,203.8
1,T1: short+no wind,26000,194.0
1,T1: short+no wind,27000,196.2
1,T1: short+no wind,28000,191.8
1,T1: short+no wind,29000,190.8
1,T1: short+no wind,30000,242.2
1,T1: short+no wind,31000,249.4
1,T1: short+no wind,32000,252.0
1,T1: short+no wind,33000,320.6
1,T1: short+no wind,34000,307.8
1,T1: short+no wind,35000,213.6
1,T1: short+no wind,36000,306.2
1,T1: short+no wind,37000,289.2
1,T1: short+no wind,38000,259.8
1,T1: short+no wind,39000,301.0
1,T1: short+no wind,40000,367.0
1,T1: short+no wind,41000,380.4
1,T1: short+no wind,42000,378.8
1,T1: short+no wind,43000,381.8
1,T1: short+no wind,44000,386.2
1,T1: short+no wind,45000,361.0
1,T1: short+no wind,46000,307.4
1,T1: short+no wind,47000,317.4
1,T1: short+no wind,48000,255.2
1,T1: short+no wind,49000,246.4
1,T1: short+no wind,50000,313.6
1,T1: short+no wind,51000,258.2
1,T1: short+no wind,52000,266.8
1,T1: short+no wind,53000,289.6
1,T1: short+no wind,54000,385.4
1,T1: short+no wind,55000,379.6
1,T1: short+no wind,56000,378.6
1,T1: short+no wind,57000,370.8
1,T1: short+no wind,58000,382.8
1,T1: short+no wind,59000,365.6
1,T1: short+no wind,60000,381.4
1,T1: short+no wind,61000,365.6
1,T1: short+no wind,62000,351.4
1,T1: short+no wind,63000,294.6
1,T1: short+no wind,64000,347.0
1,T1: short+no wind,65000,374.8
1,T1: short+no wind,66000,280.4
1,T1: short+no wind,67000,329.6
1,T1: short+no wind,68000,363.0
1,T1: short+no wind,69000,363.4
1,T1: short+no wind,70000,359.6
1,T1: short+no wind,71000,368.6
1,T1: short+no wind,72000,318.2
1,T1: short+no wind,73000,261.6
1,T1: short+no wind,74000,383.4
1,T1: short+no wind,75000,383.6
1,T1: short+no wind,76000,408.2
1,T1: short+no wind,77000,386.0
1,T1: short+no wind,78000,393.6
1,T1: short+no wind,79000,310.6
1,T1: short+no wind,80000,302.4
1,T1: short+no wind,81000,369.0
1,T1: short+no wind,82000,366.6
1,T1: short+no wind,83000,256.4
1,T1: short+no wind,84000,311.6
1,T1: short+no wind,85000,185.4
1,T1: short+no wind,86000,171.6
1,T1: short+no wind,87000,224.2
1,T1: short+no wind,88000,247.4
1,T1: short+no wind,89000,158.8
1,T1: short+no wind,90000,173.8
1,T1: short+no wind,91000,118.4
1,T1: short+no wind,92000,391.8
1,T1: short+no wind,93000,344.4
1,T1: short+no wind,94000,157.8
1,T1: short+no wind,95000,279.6
1,T1: short+no wind,96000,164.6
1,T1: short+no wind,97000,151.8
1,T1: short+no wind,98000,376.6
1,T1: short+no wind,99000,243.4
1,T1: short+no wind,100000,406.2
2,T2: short+wind,1000,44.4
2,T2: short+wind,2000,117.6
2,T2: short+wind,3000,159.6
2,T2: short+wind,4000,295.0
2,T2: short+wind,5000,321.6
2,T2: short+wind,6000,290.4
2,T2: short+wind,7000,294.4
2,T2: short+wind,8000,254.8
2,T2: short+wind,9000,221.4
2,T2: short+wind,10000,200.2
2,T2: short+wind,11000,200.4
2,T2: short+wind,12000,207.8
2,T2: short+wind,13000,217.4
2,T2: short+wind,14000,207.8
2,T2: short+wind,15000,228.6
2,T2: short+wind,16000,211.4
2,T2: short+wind,17000,193.8
2,T2: short+wind,18000,178.4
2,T2: short+wind,19000,180.8
2,T2: short+wind,20000,178.8
2,T2: short+wind,21000,184.6
2,T2: short+wind,22000,194.2
2,T2: short+wind,23000,219.6
2,T2: short+wind,24000,212.6
2,T2: short+wind,25000,214.6
2,T2: short+wind,26000,195.0
2,T2: short+wind,27000,196.8
2,T2: short+wind,28000,191.0
2,T2: short+wind,29000,192.0
2,T2: short+wind,30000,208.4
2,T2: short+wind,31000,237.0
2,T2: short+wind,32000,232.0
2,T2: short+wind,33000,294.0
2,T2: short+wind,34000,344.2
2,T2: short+wind,35000,240.6
2,T2: short+wind,36000,318.0
2,T2: short+wind,37000,293.8
2,T2: short+wind,38000,281.0
2,T2: short+wind,39000,319.0
2,T2: short+wind,40000,374.0
2,T2: short+wind,41000,365.8
2,T2: short+wind,42000,378.0
2,T2: short+wind,43000,401.2
2,T2: short+wind,44000,373.0
2,T2: short+wind,45000,368.0
2,T2: short+wind,46000,296.4
2,T2: short+wind,47000,329.8
2,T2: short+wind,48000,275.4
2,T2: short+wind,49000,258.0
2,T2: short+wind,50000,328.0
2,T2: short+wind,51000,271.8
2,T2: short+wind,52000,280.4
2,T2: short+wind,53000,308.6
2,T2: short+wind,54000,385.0
2,T2: short+wind,55000,380.2
2,T2: short+wind,56000,378.4
2,T2: short+wind,57000,384.6
2,T2: short+wind,58000,396.6
2,T2: short+wind,59000,376.0
2,T2: short+wind,60000,386.8
2,T2: short+wind,61000,379.4
2,T2: short+wind,62000,365.8
2,T2: short+wind,63000,309.6
2,T2: short+wind,64000,365.0
2,T2: short+wind,65000,377.8
2,T2: short+wind,66000,294.8
2,T2: short+wind,67000,341.0
2,T2: short+wind,68000,365.4
2,T2: short+wind,69000,374.6
2,T2: short+wind,70000,356.0
2,T2: short+wind,71000,362.6
2,T2: short+wind,72000,309.0
2,T2: short+wind,73000,274.6
2,T2: short+wind,74000,379.0
2,T2: short+wind,75000,392.4
2,T2: short+wind,76000,406.8
2,T2: short+wind,77000,403.4
2,T2: short+wind,78000,395.6
2,T2: short+wind,79000,285.8
2,T2: short+wind,80000,281.2
2,T2: short+wind,81000,385.6
2,T2: short+wind,82000,385.2
2,T2: short+wind,83000,269.2
2,T2: short+wind,84000,330.4
2,T2: short+wind,85000,229.0
2,T2: short+wind,86000,210.4
2,T2: short+wind,87000,249.2
2,T2: short+wind,88000,296.2
2,T2: short+wind,89000,208.2
2,T2: short+wind,90000,219.2
2,T2: short+wind,91000,221.4
2,T2: short+wind,92000,382.8
2,T2: short+wind,93000,376.6
2,T2: short+wind,94000,194.2
2,T2: short+wind,95000,293.2
2,T2: short+wind,96000,212.0
2,T2: short+wind,97000,227.6
2,T2: short+wind,98000,361.2
2,T2: short+wind,99000,247.6
2,T2: short+wind,100000,405.6
3,T3: long+no wind,1000,61.0
3,T3: long+no wind,2000,210.0
3,T3: long+no wind,3000,259.6
3,T3: long+no wind,4000,395.4
3,T3: long+no wind,5000,419.0
3,T3: long+no wind,6000,374.8
3,T3: long+no wind,7000,361.2
3,T3: long+no wind,8000,295.2
3,T3: long+no wind,9000,283.0
3,T3: long+no wind,10000,250.0
3,T3: long+no wind,11000,248.6
3,T3: long+no wind,12000,256.0
3,T3: long+no wind,13000,258.4
3,T3: long+no wind,14000,260.2
3,T3: long+no wind,15000,273.0
3,T3: long+no wind,16000,254.0
3,T3: long+no wind,17000,233.4
3,T3: long+no wind,18000,211.2
3,T3: long+no wind,19000,210.4
3,T3: long+no wind,20000,222.8
3,T3: long+no wind,21000,227.0
3,T3: long+no wind,22000,249.0
3,T3: long+no wind,23000,277.2
3,T3: long+no wind,24000,277.8
3,T3: long+no wind,25000,279.4
3,T3: long+no wind,26000,265.8
3,T3: long+no wind,27000,263.2
3,T3: long+no wind,28000,261.0
3,T3: long+no wind,29000,257.8
3,T3: long+no wind,30000,273.8
3,T3: long+no wind,31000,301.4
3,T3: long+no wind,32000,314.6
3,T3: long+no wind,33000,379.6
3,T3: long+no wind,34000,379.4
3,T3: long+no wind,35000,285.8
3,T3: long+no wind,36000,364.8
3,T3: long+no wind,37000,352.2
3,T3: long+no wind,38000,344.8
3,T3: long+no wind,39000,366.6
3,T3: long+no wind,40000,416.0
3,T3: long+no wind,41000,404.4
3,T3: long+no wind,42000,396.4
3,T3: long+no wind,43000,395.2
3,T3: long+no wind,44000,404.4
3,T3: long+no wind,45000,377.2
3,T3: long+no wind,46000,331.4
3,T3: long+no wind,47000,345.0
3,T3: long+no wind,48000,263.2
3,T3: long+no wind,49000,252.8
3,T3: long+no wind,50000,321.8
3,T3: long+no wind,51000,263.2
3,T3: long+no wind,52000,270.6
3,T3: long+no wind,53000,295.8
3,T3: long+no wind,54000,404.4
3,T3: long+no wind,55000,404.4
3,T3: long+no wind,56000,396.4
3,T3: long+no wind,57000,385.2
3,T3: long+no wind,58000,432.0
3,T3: long+no wind,59000,382.0
3,T3: long+no wind,60000,404.8
3,T3: long+no wind,61000,382.8
3,T3: long+no wind,62000,361.2
3,T3: long+no wind,63000,303.6
3,T3: long+no wind,64000,361.4
3,T3: long+no wind,65000,394.4
3,T3: long+no wind,66000,288.4
3,T3: long+no wind,67000,341.0
3,T3: long+no wind,68000,382.0
3,T3: long+no wind,69000,370.0
3,T3: long+no wind,70000,370.0
3,T3: long+no wind,71000,408.6
3,T3: long+no wind,72000,355.8
3,T3: long+no wind,73000,302.0
3,T3: long+no wind,74000,437.6
3,T3: long+no wind,75000,433.2
3,T3: long+no wind,76000,439.8
3,T3: long+no wind,77000,440.0
3,T3: long+no wind,78000,437.4
3,T3: long+no wind,79000,346.8
3,T3: long+no wind,80000,330.6
3,T3: long+no wind,81000,420.2
3,T3: long+no wind,82000,367.6
3,T3: long+no wind,83000,268.4
3,T3: long+no wind,84000,324.6
3,T3: long+no wind,85000,228.0
3,T3: long+no wind,86000,210.4
3,T3: long+no wind,87000,362.8
3,T3: long+no wind,88000,405.2
3,T3: long+no wind,89000,209.6
3,T3: long+no wind,90000,219.2
3,T3: long+no wind,91000,216.6
3,T3: long+no wind,92000,397.4
3,T3: long+no wind,93000,355.0
3,T3: long+no wind,94000,192.6
3,T3: long+no wind,95000,264.8
3,T3: long+no wind,96000,210.0
3,T3: long+no wind,97000,284.0
3,T3: long+no wind,98000,381.2
3,T3: long+no wind,99000,233.6
3,T3: long+no wind,100000,407.8
4,T4: long+wind,1000,63.8
4,T4: long+wind,2000,181.8
4,T4: long+wind,3000,235.8
4,T4: long+wind,4000,369.0
4,T4: long+wind,5000,390.0
4,T4: long+wind,6000,330.6
4,T4: long+wind,7000,309.8
4,T4: long+wind,8000,281.6
4,T4: long+wind,9000,263.8
4,T4: long+wind,10000,238.2
4,T4: long+wind,11000,256.8
4,T4: long+wind,12000,264.4
4,T4: long+wind,13000,269.0
4,T4: long+wind,14000,264.6
4,T4: long+wind,15000,266.6
4,T4: long+wind,16000,264.6
4,T4: long+wind,17000,235.0
4,T4: long+wind,18000,209.8
4,T4: long+wind,19000,209.2
4,T4: long+wind,20000,216.8
4,T4: long+wind,21000,223.0
