task_id,task_name,global_step,average_reward
1,T1: short+no wind,1000,101.0
1,T1: short+no wind,2000,241.0
1,T1: short+no wind,3000,206.6
1,T1: short+no wind,4000,184.2
1,T1: short+no wind,5000,253.8
1,T1: short+no wind,6000,232.8
1,T1: short+no wind,7000,231.0
1,T1: short+no wind,8000,298.6
1,T1: short+no wind,9000,327.2
1,T1: short+no wind,10000,362.8
1,T1: short+no wind,11000,338.6
1,T1: short+no wind,12000,353.0
1,T1: short+no wind,13000,373.8
1,T1: short+no wind,14000,357.6
1,T1: short+no wind,15000,382.6
1,T1: short+no wind,16000,377.4
1,T1: short+no wind,17000,378.0
1,T1: short+no wind,18000,367.8
1,T1: short+no wind,19000,363.4
1,T1: short+no wind,20000,388.8
1,T1: short+no wind,21000,391.4
1,T1: short+no wind,22000,369.8
1,T1: short+no wind,23000,355.6
1,T1: short+no wind,24000,386.4
1,T1: short+no wind,25000,349.8
1,T1: short+no wind,26000,363.6
1,T1: short+no wind,27000,419.2
1,T1: short+no wind,28000,392.0
1,T1: short+no wind,29000,436.4
1,T1: short+no wind,30000,449.2
1,T1: short+no wind,31000,401.0
1,T1: short+no wind,32000,492.6
1,T1: short+no wind,33000,500.0
1,T1: short+no wind,34000,500.0
1,T1: short+no wind,35000,494.2
1,T1: short+no wind,36000,477.2
1,T1: short+no wind,37000,500.0
1,T1: short+no wind,38000,497.8
1,T1: short+no wind,39000,397.2
1,T1: short+no wind,40000,345.6
1,T1: short+no wind,41000,248.2
1,T1: short+no wind,42000,292.0
1,T1: short+no wind,43000,427.2
1,T1: short+no wind,44000,431.0
1,T1: short+no wind,45000,340.4
1,T1: short+no wind,46000,500.0
1,T1: short+no wind,47000,500.0
1,T1: short+no wind,48000,428.0
1,T1: short+no wind,49000,370.4
1,T1: short+no wind,50000,407.0
1,T1: short+no wind,51000,248.8
1,T1: short+no wind,52000,316.6
1,T1: short+no wind,53000,443.0
1,T1: short+no wind,54000,500.0
1,T1: short+no wind,55000,500.0
1,T1: short+no wind,56000,440.4
1,T1: short+no wind,57000,362.0
1,T1: short+no wind,58000,451.4
1,T1: short+no wind,59000,321.8
1,T1: short+no wind,60000,318.0
1,T1: short+no wind,61000,343.8
1,T1: short+no wind,62000,404.6
1,T1: short+no wind,63000,452.6
1,T1: short+no wind,64000,365.0
1,T1: short+no wind,65000,500.0
1,T1: short+no wind,66000,337.2
1,T1: short+no wind,67000,452.0
1,T1: short+no wind,68000,419.6
1,T1: short+no wind,69000,491.8
1,T1: short+no wind,70000,500.0
1,T1: short+no wind,71000,356.2
1,T1: short+no wind,72000,380.8
1,T1: short+no wind,73000,410.6
1,T1: short+no wind,74000,333.8
1,T1: short+no wind,75000,467.0
1,T1: short+no wind,76000,432.6
1,T1: short+no wind,77000,97.6
1,T1: short+no wind,78000,358.4
1,T1: short+no wind,79000,271.2
1,T1: short+no wind,80000,288.6
1,T1: short+no wind,81000,232.8
1,T1: short+no wind,82000,243.6
1,T1: short+no wind,83000,500.0
1,T1: short+no wind,84000,500.0
1,T1: short+no wind,85000,500.0
1,T1: short+no wind,86000,116.2
1,T1: short+no wind,87000,500.0
1,T1: short+no wind,88000,500.0
1,T1: short+no wind,89000,500.0
1,T1: short+no wind,90000,287.6
1,T1: short+no wind,91000,85.8
1,T1: short+no wind,92000,107.8
1,T1: short+no wind,93000,170.6
1,T1: short+no wind,94000,151.0
1,T1: short+no wind,95000,199.0
1,T1: short+no wind,96000,148.8
1,T1: short+no wind,97000,351.8
1,T1: short+no wind,98000,338.2
1,T1: short+no wind,99000,389.8
1,T1: short+no wind,100000,71.2
2,T2: short+wind,1000,107.6
2,T2: short+wind,2000,246.6
2,T2: short+wind,3000,226.2
2,T2: short+wind,4000,212.0
2,T2: short+wind,5000,287.4
2,T2: short+wind,6000,260.0
2,T2: short+wind,7000,246.0
2,T2: short+wind,8000,279.2
2,T2: short+wind,9000,327.6
2,T2: short+wind,10000,351.4
2,T2: short+wind,11000,344.0
2,T2: short+wind,12000,379.8
2,T2: short+wind,13000,374.0
2,T2: short+wind,14000,395.6
2,T2: short+wind,15000,400.4
2,T2: short+wind,16000,407.0
2,T2: short+wind,17000,394.4
2,T2: short+wind,18000,401.0
2,T2: short+wind,19000,386.8
2,T2: short+wind,20000,403.2
2,T2: short+wind,21000,401.6
2,T2: short+wind,22000,350.4
2,T2: short+wind,23000,364.4
2,T2: short+wind,24000,377.4
2,T2: short+wind,25000,359.2
2,T2: short+wind,26000,350.8
2,T2: short+wind,27000,432.4
2,T2: short+wind,28000,381.4
2,T2: short+wind,29000,414.2
2,T2: short+wind,30000,428.0
2,T2: short+wind,31000,354.0
2,T2: short+wind,32000,410.0
2,T2: short+wind,33000,500.0
2,T2: short+wind,34000,410.0
2,T2: short+wind,35000,487.8
2,T2: short+wind,36000,491.8
2,T2: short+wind,37000,500.0
2,T2: short+wind,38000,413.0
2,T2: short+wind,39000,406.6
2,T2: short+wind,40000,398.8
2,T2: short+wind,41000,345.2
2,T2: short+wind,42000,377.6
2,T2: short+wind,43000,394.2
2,T2: short+wind,44000,410.4
2,T2: short+wind,45000,417.0
2,T2: short+wind,46000,471.0
2,T2: short+wind,47000,500.0
2,T2: short+wind,48000,467.2
2,T2: short+wind,49000,422.6
2,T2: short+wind,50000,451.4
2,T2: short+wind,51000,260.6
2,T2: short+wind,52000,319.4
2,T2: short+wind,53000,474.2
2,T2: short+wind,54000,500.0
2,T2: short+wind,55000,500.0
2,T2: short+wind,56000,494.6
2,T2: short+wind,57000,390.8
2,T2: short+wind,58000,492.4
2,T2: short+wind,59000,357.2
2,T2: short+wind,60000,332.6
2,T2: short+wind,61000,309.8
2,T2: short+wind,62000,363.8
2,T2: short+wind,63000,403.4
2,T2: short+wind,64000,381.8
2,T2: short+wind,65000,500.0
2,T2: short+wind,66000,311.2
2,T2: short+wind,67000,416.6
2,T2: short+wind,68000,387.6
2,T2: short+wind,69000,500.0
2,T2: short+wind,70000,495.6
2,T2: short+wind,71000,348.2
2,T2: short+wind,72000,362.6
2,T2: short+wind,73000,394.6
2,T2: short+wind,74000,373.4
2,T2: short+wind,75000,500.0
2,T2: short+wind,76000,393.0
2,T2: short+wind,77000,77.4
2,T2: short+wind,78000,339.4
2,T2: short+wind,79000,320.2
2,T2: short+wind,80000,301.0
2,T2: short+wind,81000,241.0
2,T2: short+wind,82000,265.8
2,T2: short+wind,83000,500.0
2,T2: short+wind,84000,477.2
2,T2: short+wind,85000,500.0
2,T2: short+wind,86000,125.0
2,T2: short+wind,87000,500.0
2,T2: short+wind,88000,500.0
2,T2: short+wind,89000,500.0
2,T2: short+wind,90000,309.4
2,T2: short+wind,91000,93.0
2,T2: short+wind,92000,125.0
2,T2: short+wind,93000,207.8
2,T2: short+wind,94000,203.4
2,T2: short+wind,95000,245.2
2,T2: short+wind,96000,186.8
2,T2: short+wind,97000,406.4
2,T2: short+wind,98000,397.8
2,T2: short+wind,99000,493.0
2,T2: short+wind,100000,87.4
3,T3: long+no wind,1000,126.8
3,T3: long+no wind,2000,275.8
