task_id,task_name,global_step,average_reward
1,T1: short+no wind,1000,211.2
1,T1: short+no wind,2000,445.8
1,T1: short+no wind,3000,267.4
1,T1: short+no wind,4000,202.6
1,T1: short+no wind,5000,192.6
1,T1: short+no wind,6000,175.2
1,T1: short+no wind,7000,181.2
1,T1: short+no wind,8000,236.4
1,T1: short+no wind,9000,238.8
1,T1: short+no wind,10000,242.4
1,T1: short+no wind,11000,241.0
1,T1: short+no wind,12000,192.2
1,T1: short+no wind,13000,140.8
1,T1: short+no wind,14000,172.8
1,T1: short+no wind,15000,68.4
1,T1: short+no wind,16000,54.4
1,T1: short+no wind,17000,44.0
1,T1: short+no wind,18000,39.8
1,T1: short+no wind,19000,32.4
1,T1: short+no wind,20000,31.4
1,T1: short+no wind,21000,28.4
1,T1: short+no wind,22000,31.2
1,T1: short+no wind,23000,28.4
1,T1: short+no wind,24000,28.4
1,T1: short+no wind,25000,28.4
1,T1: short+no wind,26000,42.8
1,T1: short+no wind,27000,56.2
1,T1: short+no wind,28000,77.4
1,T1: short+no wind,29000,59.4
1,T1: short+no wind,30000,54.8
1,T1: short+no wind,31000,57.6
1,T1: short+no wind,32000,55.8
1,T1: short+no wind,33000,59.0
1,T1: short+no wind,34000,64.0
1,T1: short+no wind,35000,102.0
1,T1: short+no wind,36000,151.0
1,T1: short+no wind,37000,128.4
1,T1: short+no wind,38000,87.2
1,T1: short+no wind,39000,71.4
1,T1: short+no wind,40000,64.6
1,T1: short+no wind,41000,64.2
1,T1: short+no wind,42000,67.4
1,T1: short+no wind,43000,71.0
1,T1: short+no wind,44000,69.4
1,T1: short+no wind,45000,74.2
1,T1: short+no wind,46000,68.6
1,T1: short+no wind,47000,66.6
1,T1: short+no wind,48000,55.8
1,T1: short+no wind,49000,38.8
1,T1: short+no wind,50000,32.4
1,T1: short+no wind,51000,41.6
1,T1: short+no wind,52000,44.2
1,T1: short+no wind,53000,51.2
1,T1: short+no wind,54000,51.2
1,T1: short+no wind,55000,51.6
1,T1: short+no wind,56000,68.0
1,T1: short+no wind,57000,76.8
1,T1: short+no wind,58000,60.6
1,T1: short+no wind,59000,62.0
1,T1: short+no wind,60000,87.8
1,T1: short+no wind,61000,78.4
1,T1: short+no wind,62000,62.8
1,T1: short+no wind,63000,63.0
1,T1: short+no wind,64000,63.8
1,T1: short+no wind,65000,58.8
1,T1: short+no wind,66000,54.0
1,T1: short+no wind,67000,41.2
1,T1: short+no wind,68000,37.4
