task_id,task_name,global_step,average_reward
1,T1: short+no wind,1000,101.0
1,T1: short+no wind,2000,500.0
1,T1: short+no wind,3000,282.2
1,T1: short+no wind,4000,186.8
1,T1: short+no wind,5000,214.8
1,T1: short+no wind,6000,171.8
1,T1: short+no wind,7000,164.6
1,T1: short+no wind,8000,162.4
1,T1: short+no wind,9000,159.2
1,T1: short+no wind,10000,130.2
1,T1: short+no wind,11000,381.2
1,T1: short+no wind,12000,146.4
1,T1: short+no wind,13000,140.2
1,T1: short+no wind,14000,205.2
1,T1: short+no wind,15000,75.8
1,T1: short+no wind,16000,58.6
1,T1: short+no wind,17000,36.0
1,T1: short+no wind,18000,31.4
1,T1: short+no wind,19000,29.2
1,T1: short+no wind,20000,29.2
1,T1: short+no wind,21000,29.2
1,T1: short+no wind,22000,29.2
1,T1: short+no wind,23000,29.2
1,T1: short+no wind,24000,29.2
1,T1: short+no wind,25000,29.2
1,T1: short+no wind,26000,35.0
1,T1: short+no wind,27000,49.0
1,T1: short+no wind,28000,58.2
1,T1: short+no wind,29000,67.0
1,T1: short+no wind,30000,64.4
1,T1: short+no wind,31000,66.2
1,T1: short+no wind,32000,73.8
1,T1: short+no wind,33000,80.6
1,T1: short+no wind,34000,81.2
1,T1: short+no wind,35000,95.0
1,T1: short+no wind,36000,98.2
1,T1: short+no wind,37000,73.2
1,T1: short+no wind,38000,136.6
1,T1: short+no wind,39000,29.2
1,T1: short+no wind,40000,82.4
1,T1: short+no wind,41000,48.0
1,T1: short+no wind,42000,81.2
1,T1: short+no wind,43000,84.2
1,T1: short+no wind,44000,88.4
1,T1: short+no wind,45000,83.6
1,T1: short+no wind,46000,72.0
1,T1: short+no wind,47000,47.6
1,T1: short+no wind,48000,47.8
1,T1: short+no wind,49000,29.2
1,T1: short+no wind,50000,29.2
1,T1: short+no wind,51000,32.8
1,T1: short+no wind,52000,49.4
1,T1: short+no wind,53000,57.4
1,T1: short+no wind,54000,66.4
1,T1: short+no wind,55000,70.8
1,T1: short+no wind,56000,72.6
1,T1: short+no wind,57000,71.8
1,T1: short+no wind,58000,71.0
1,T1: short+no wind,59000,78.2
1,T1: short+no wind,60000,78.8
1,T1: short+no wind,61000,76.4
1,T1: short+no wind,62000,75.2
1,T1: short+no wind,63000,65.8
1,T1: short+no wind,64000,66.4
1,T1: short+no wind,65000,69.2
1,T1: short+no wind,66000,76.4
1,T1: short+no wind,67000,74.2
1,T1: short+no wind,68000,100.6
1,T1: short+no wind,69000,91.4
1,T1: short+no wind,70000,84.0
1,T1: short+no wind,71000,85.6
1,T1: short+no wind,72000,77.2
1,T1: short+no wind,73000,59.8
1,T1: short+no wind,74000,53.6
1,T1: short+no wind,75000,42.8
1,T1: short+no wind,76000,62.8
1,T1: short+no wind,77000,67.8
1,T1: short+no wind,78000,54.4
1,T1: short+no wind,79000,74.6
1,T1: short+no wind,80000,75.2
1,T1: short+no wind,81000,53.4
1,T1: short+no wind,82000,46.0
1,T1: short+no wind,83000,39.8
1,T1: short+no wind,84000,47.4
1,T1: short+no wind,85000,86.6
1,T1: short+no wind,86000,82.0
1,T1: short+no wind,87000,60.0
1,T1: short+no wind,88000,58.6
1,T1: short+no wind,89000,54.6
1,T1: short+no wind,90000,57.8
1,T1: short+no wind,91000,60.0
1,T1: short+no wind,92000,61.8
1,T1: short+no wind,93000,60.4
1,T1: short+no wind,94000,61.6
1,T1: short+no wind,95000,62.4
1,T1: short+no wind,96000,57.2
1,T1: short+no wind,97000,55.8
1,T1: short+no wind,98000,54.2
1,T1: short+no wind,99000,54.4
1,T1: short+no wind,100000,51.8
2,T2: short+wind,1000,115.8
2,T2: short+wind,2000,500.0
2,T2: short+wind,3000,295.4
2,T2: short+wind,4000,202.4
2,T2: short+wind,5000,233.4
2,T2: short+wind,6000,190.6
2,T2: short+wind,7000,183.4
2,T2: short+wind,8000,183.8
2,T2: short+wind,9000,168.4
2,T2: short+wind,10000,140.0
2,T2: short+wind,11000,500.0
2,T2: short+wind,12000,203.6
2,T2: short+wind,13000,170.2
2,T2: short+wind,14000,210.2
2,T2: short+wind,15000,149.4
2,T2: short+wind,16000,71.0
2,T2: short+wind,17000,39.8
2,T2: short+wind,18000,33.8
2,T2: short+wind,19000,31.6
2,T2: short+wind,20000,31.6
2,T2: short+wind,21000,31.6
2,T2: short+wind,22000,31.6
2,T2: short+wind,23000,31.6
2,T2: short+wind,24000,31.6
2,T2: short+wind,25000,31.6
2,T2: short+wind,26000,37.6
2,T2: short+wind,27000,56.4
2,T2: short+wind,28000,71.2
