task_id,task_name,global_step,average_reward
1,T1: short+no wind,1000,109.0
1,T1: short+no wind,2000,199.2
1,T1: short+no wind,3000,429.0
1,T1: short+no wind,4000,238.8
1,T1: short+no wind,5000,184.2
1,T1: short+no wind,6000,166.4
1,T1: short+no wind,7000,172.2
1,T1: short+no wind,8000,183.4
1,T1: short+no wind,9000,204.0
1,T1: short+no wind,10000,191.0
1,T1: short+no wind,11000,176.8
1,T1: short+no wind,12000,156.4
1,T1: short+no wind,13000,156.0
1,T1: short+no wind,14000,142.4
1,T1: short+no wind,15000,108.6
1,T1: short+no wind,16000,84.6
1,T1: short+no wind,17000,34.6
1,T1: short+no wind,18000,31.6
1,T1: short+no wind,19000,30.2
1,T1: short+no wind,20000,30.8
1,T1: short+no wind,21000,30.8
1,T1: short+no wind,22000,31.6
1,T1: short+no wind,23000,31.6
1,T1: short+no wind,24000,31.8
1,T1: short+no wind,25000,32.8
1,T1: short+no wind,26000,37.6
1,T1: short+no wind,27000,43.4
1,T1: short+no wind,28000,51.2
1,T1: short+no wind,29000,52.4
1,T1: short+no wind,30000,52.6
1,T1: short+no wind,31000,52.0
1,T1: short+no wind,32000,51.6
1,T1: short+no wind,33000,53.6
1,T1: short+no wind,34000,79.8
1,T1: short+no wind,35000,82.8
1,T1: short+no wind,36000,94.4
1,T1: short+no wind,37000,78.0
1,T1: short+no wind,38000,55.6
1,T1: short+no wind,39000,64.0
1,T1: short+no wind,40000,63.6
1,T1: short+no wind,41000,60.2
1,T1: short+no wind,42000,60.4
1,T1: short+no wind,43000,60.2
1,T1: short+no wind,44000,59.4
1,T1: short+no wind,45000,60.0
1,T1: short+no wind,46000,58.0
1,T1: short+no wind,47000,51.8
1,T1: short+no wind,48000,54.4
1,T1: short+no wind,49000,58.4
1,T1: short+no wind,50000,39.4
1,T1: short+no wind,51000,65.0
1,T1: short+no wind,52000,63.2
1,T1: short+no wind,53000,60.4
1,T1: short+no wind,54000,59.8
1,T1: short+no wind,55000,68.6
1,T1: short+no wind,56000,91.8
1,T1: short+no wind,57000,122.6
1,T1: short+no wind,58000,81.8
1,T1: short+no wind,59000,62.4
1,T1: short+no wind,60000,113.0
1,T1: short+no wind,61000,253.6
1,T1: short+no wind,62000,96.8
1,T1: short+no wind,63000,72.0
1,T1: short+no wind,64000,82.4
1,T1: short+no wind,65000,85.8
1,T1: short+no wind,66000,75.2
1,T1: short+no wind,67000,68.4
1,T1: short+no wind,68000,77.2
1,T1: short+no wind,69000,84.0
1,T1: short+no wind,70000,68.8
1,T1: short+no wind,71000,83.6
1,T1: short+no wind,72000,85.6
1,T1: short+no wind,73000,115.2
1,T1: short+no wind,74000,122.2
1,T1: short+no wind,75000,177.6
1,T1: short+no wind,76000,82.8
1,T1: short+no wind,77000,68.8
1,T1: short+no wind,78000,67.4
1,T1: short+no wind,79000,65.4
1,T1: short+no wind,80000,64.2
1,T1: short+no wind,81000,66.8
1,T1: short+no wind,82000,69.0
1,T1: short+no wind,83000,60.8
1,T1: short+no wind,84000,46.8
1,T1: short+no wind,85000,69.0
1,T1: short+no wind,86000,80.4
1,T1: short+no wind,87000,68.8
1,T1: short+no wind,88000,61.6
1,T1: short+no wind,89000,61.6
1,T1: short+no wind,90000,64.0
1,T1: short+no wind,91000,62.8
1,T1: short+no wind,92000,39.2
1,T1: short+no wind,93000,31.4
1,T1: short+no wind,94000,58.4
1,T1: short+no wind,95000,49.0
1,T1: short+no wind,96000,57.0
1,T1: short+no wind,97000,55.0
1,T1: short+no wind,98000,56.0
1,T1: short+no wind,99000,53.4
1,T1: short+no wind,100000,68.6
2,T2: short+wind,1000,99.4
2,T2: short+wind,2000,204.2
2,T2: short+wind,3000,346.6
2,T2: short+wind,4000,248.8
2,T2: short+wind,5000,202.0
2,T2: short+wind,6000,180.0
2,T2: short+wind,7000,190.4
2,T2: short+wind,8000,200.6
2,T2: short+wind,9000,219.4
2,T2: short+wind,10000,209.6
2,T2: short+wind,11000,200.8
2,T2: short+wind,12000,195.0
2,T2: short+wind,13000,192.6
2,T2: short+wind,14000,186.0
2,T2: short+wind,15000,168.6
2,T2: short+wind,16000,141.2
2,T2: short+wind,17000,37.8
2,T2: short+wind,18000,34.0
2,T2: short+wind,19000,32.6
2,T2: short+wind,20000,33.8
2,T2: short+wind,21000,33.8
2,T2: short+wind,22000,33.8
2,T2: short+wind,23000,34.2
2,T2: short+wind,24000,34.4
2,T2: short+wind,25000,36.0
2,T2: short+wind,26000,41.4
2,T2: short+wind,27000,52.0
2,T2: short+wind,28000,83.6
2,T2: short+wind,29000,72.4
2,T2: short+wind,30000,81.6
