task_id,task_name,global_step,average_reward
1,T1: short+no wind,250,74.8
1,T1: short+no wind,500,44.4
1,T1: short+no wind,750,98.4
1,T1: short+no wind,1000,89.6
1,T1: short+no wind,1250,128.2
1,T1: short+no wind,1500,272.0
1,T1: short+no wind,1750,224.2
1,T1: short+no wind,2000,268.2
1,T1: short+no wind,2250,297.2
1,T1: short+no wind,2500,385.8
1,T1: short+no wind,2750,432.2
1,T1: short+no wind,3000,387.6
1,T1: short+no wind,3250,413.0
1,T1: short+no wind,3500,500.0
1,T1: short+no wind,3750,500.0
1,T1: short+no wind,4000,500.0
1,T1: short+no wind,4250,500.0
1,T1: short+no wind,4500,500.0
1,T1: short+no wind,4750,500.0
1,T1: short+no wind,5000,500.0
1,T1: short+no wind,5250,500.0
1,T1: short+no wind,5500,500.0
1,T1: short+no wind,5750,500.0
1,T1: short+no wind,6000,500.0
1,T1: short+no wind,6250,500.0
1,T1: short+no wind,6500,500.0
1,T1: short+no wind,6750,500.0
1,T1: short+no wind,7000,500.0
1,T1: short+no wind,7250,500.0
1,T1: short+no wind,7500,500.0
1,T1: short+no wind,7750,500.0
1,T1: short+no wind,8000,500.0
1,T1: short+no wind,8250,500.0
1,T1: short+no wind,8500,500.0
1,T1: short+no wind,8750,500.0
1,T1: short+no wind,9000,500.0
1,T1: short+no wind,9250,500.0
1,T1: short+no wind,9500,500.0
1,T1: short+no wind,9750,500.0
1,T1: short+no wind,10000,500.0
1,T1: short+no wind,10250,500.0
1,T1: short+no wind,10500,500.0
1,T1: short+no wind,10750,500.0
1,T1: short+no wind,11000,500.0
1,T1: short+no wind,11250,498.8
1,T1: short+no wind,11500,500.0
1,T1: short+no wind,11750,500.0
1,T1: short+no wind,12000,500.0
1,T1: short+no wind,12250,500.0
1,T1: short+no wind,12500,500.0
1,T1: short+no wind,12750,500.0
1,T1: short+no wind,13000,500.0
1,T1: short+no wind,13250,499.2
1,T1: short+no wind,13500,500.0
1,T1: short+no wind,13750,500.0
1,T1: short+no wind,14000,500.0
1,T1: short+no wind,14250,500.0
1,T1: short+no wind,14500,500.0
1,T1: short+no wind,14750,500.0
1,T1: short+no wind,15000,500.0
1,T1: short+no wind,15250,500.0
1,T1: short+no wind,15500,500.0
1,T1: short+no wind,15750,500.0
1,T1: short+no wind,16000,500.0
1,T1: short+no wind,16250,500.0
1,T1: short+no wind,16500,500.0
1,T1: short+no wind,16750,500.0
1,T1: short+no wind,17000,487.6
1,T1: short+no wind,17250,500.0
1,T1: short+no wind,17500,487.8
1,T1: short+no wind,17750,500.0
1,T1: short+no wind,18000,490.0
1,T1: short+no wind,18250,500.0
1,T1: short+no wind,18500,500.0
1,T1: short+no wind,18750,500.0
1,T1: short+no wind,19000,500.0
1,T1: short+no wind,19250,482.4
1,T1: short+no wind,19500,496.6
1,T1: short+no wind,19750,498.6
1,T1: short+no wind,20000,500.0
1,T1: short+no wind,20250,497.6
1,T1: short+no wind,20500,500.0
1,T1: short+no wind,20750,500.0
1,T1: short+no wind,21000,463.0
1,T1: short+no wind,21250,468.4
1,T1: short+no wind,21500,494.4
1,T1: short+no wind,21750,478.4
1,T1: short+no wind,22000,472.2
1,T1: short+no wind,22250,466.6
1,T1: short+no wind,22500,489.0
1,T1: short+no wind,22750,483.4
1,T1: short+no wind,23000,472.8
1,T1: short+no wind,23250,465.0
1,T1: short+no wind,23500,465.2
1,T1: short+no wind,23750,452.2
1,T1: short+no wind,24000,489.2
1,T1: short+no wind,24250,413.8
1,T1: short+no wind,24500,475.2
1,T1: short+no wind,24750,480.6
1,T1: short+no wind,25000,464.4
2,T2: short+wind,250,80.0
2,T2: short+wind,500,39.8
2,T2: short+wind,750,108.4
2,T2: short+wind,1000,93.0
2,T2: short+wind,1250,119.8
2,T2: short+wind,1500,298.4
2,T2: short+wind,1750,204.6
2,T2: short+wind,2000,246.4
2,T2: short+wind,2250,256.8
2,T2: short+wind,2500,323.0
2,T2: short+wind,2750,385.6
2,T2: short+wind,3000,330.8
2,T2: short+wind,3250,346.8
2,T2: short+wind,3500,418.0
2,T2: short+wind,3750,418.0
2,T2: short+wind,4000,500.0
2,T2: short+wind,4250,418.0
2,T2: short+wind,4500,497.0
2,T2: short+wind,4750,500.0
2,T2: short+wind,5000,500.0
2,T2: short+wind,5250,496.4
2,T2: short+wind,5500,500.0
2,T2: short+wind,5750,500.0
2,T2: short+wind,6000,500.0
2,T2: short+wind,6250,498.2
2,T2: short+wind,6500,497.4
2,T2: short+wind,6750,500.0
2,T2: short+wind,7000,500.0
2,T2: short+wind,7250,495.0
2,T2: short+wind,7500,500.0
2,T2: short+wind,7750,500.0
2,T2: short+wind,8000,500.0
2,T2: short+wind,8250,500.0
2,T2: short+wind,8500,500.0
2,T2: short+wind,8750,500.0
2,T2: short+wind,9000,500.0
2,T2: short+wind,9250,500.0
2,T2: short+wind,9500,495.4
2,T2: short+wind,9750,500.0
2,T2: short+wind,10000,500.0
2,T2: short+wind,10250,492.8
2,T2: short+wind,10500,500.0
2,T2: short+wind,10750,500.0
2,T2: short+wind,11000,500.0
2,T2: short+wind,11250,500.0
2,T2: short+wind,11500,500.0
2,T2: short+wind,11750,500.0
2,T2: short+wind,12000,500.0
2,T2: short+wind,12250,500.0
2,T2: short+wind,12500,500.0
2,T2: short+wind,12750,500.0
2,T2: short+wind,13000,500.0
2,T2: short+wind,13250,493.0
2,T2: short+wind,13500,500.0
2,T2: short+wind,13750,500.0
2,T2: short+wind,14000,500.0
2,T2: short+wind,14250,500.0
2,T2: short+wind,14500,500.0
2,T2: short+wind,14750,500.0
2,T2: short+wind,15000,497.4
2,T2: short+wind,15250,500.0
2,T2: short+wind,15500,500.0
2,T2: short+wind,15750,500.0
2,T2: short+wind,16000,500.0
2,T2: short+wind,16250,500.0
2,T2: short+wind,16500,500.0
2,T2: short+wind,16750,500.0
2,T2: short+wind,17000,499.0
2,T2: short+wind,17250,500.0
2,T2: short+wind,17500,500.0
2,T2: short+wind,17750,500.0
2,T2: short+wind,18000,500.0
2,T2: short+wind,18250,500.0
2,T2: short+wind,18500,500.0
2,T2: short+wind,18750,496.2
2,T2: short+wind,19000,500.0
2,T2: short+wind,19250,500.0
2,T2: short+wind,19500,499.6
2,T2: short+wind,19750,492.8
2,T2: short+wind,20000,500.0
2,T2: short+wind,20250,500.0
2,T2: short+wind,20500,498.8
2,T2: short+wind,20750,496.4
2,T2: short+wind,21000,470.4
2,T2: short+wind,21250,476.6
2,T2: short+wind,21500,495.0
2,T2: short+wind,21750,496.0
2,T2: short+wind,22000,488.4
2,T2: short+wind,22250,475.0
2,T2: short+wind,22500,480.2
2,T2: short+wind,22750,500.0
2,T2: short+wind,23000,489.4
2,T2: short+wind,23250,473.0
2,T2: short+wind,23500,477.4
2,T2: short+wind,23750,460.0
2,T2: short+wind,24000,489.8
2,T2: short+wind,24250,442.2
2,T2: short+wind,24500,453.4
2,T2: short+wind,24750,494.0
2,T2: short+wind,25000,472.6
3,T3: long+no wind,250,95.4
3,T3: long+no wind,500,46.4
3,T3: long+no wind,750,122.4
3,T3: long+no wind,1000,107.8
3,T3: long+no wind,1250,139.2
3,T3: long+no wind,1500,314.8
3,T3: long+no wind,1750,237.2
3,T3: long+no wind,2000,296.8
3,T3: long+no wind,2250,355.2
3,T3: long+no wind,2500,440.6
3,T3: long+no wind,2750,478.4
3,T3: long+no wind,3000,390.2
3,T3: long+no wind,3250,413.6
3,T3: long+no wind,3500,500.0
3,T3: long+no wind,3750,500.0
3,T3: long+no wind,4000,500.0
3,T3: long+no wind,4250,500.0
3,T3: long+no wind,4500,500.0
3,T3: long+no wind,4750,500.0
3,T3: long+no wind,5000,500.0
3,T3: long+no wind,5250,500.0
3,T3: long+no wind,5500,500.0
3,T3: long+no wind,5750,500.0
3,T3: long+no wind,6000,500.0
3,T3: long+no wind,6250,500.0
3,T3: long+no wind,6500,500.0
3,T3: long+no wind,6750,500.0
3,T3: long+no wind,7000,500.0
3,T3: long+no wind,7250,500.0
3,T3: long+no wind,7500,500.0
3,T3: long+no wind,7750,500.0
3,T3: long+no wind,8000,500.0
3,T3: long+no wind,8250,500.0
3,T3: long+no wind,8500,500.0
3,T3: long+no wind,8750,500.0
3,T3: long+no wind,9000,500.0
3,T3: long+no wind,9250,500.0
3,T3: long+no wind,9500,500.0
3,T3: long+no wind,9750,500.0
3,T3: long+no wind,10000,500.0
3,T3: long+no wind,10250,500.0
3,T3: long+no wind,10500,500.0
3,T3: long+no wind,10750,500.0
3,T3: long+no wind,11000,500.0
3,T3: long+no wind,11250,500.0
3,T3: long+no wind,11500,500.0
3,T3: long+no wind,11750,500.0
3,T3: long+no wind,12000,500.0
3,T3: long+no wind,12250,500.0
3,T3: long+no wind,12500,500.0
3,T3: long+no wind,12750,500.0
3,T3: long+no wind,13000,500.0
3,T3: long+no wind,13250,500.0
3,T3: long+no wind,13500,500.0
3,T3: long+no wind,13750,500.0
3,T3: long+no wind,14000,500.0
3,T3: long+no wind,14250,500.0
3,T3: long+no wind,14500,500.0
3,T3: long+no wind,14750,500.0
3,T3: long+no wind,15000,500.0
3,T3: long+no wind,15250,500.0
3,T3: long+no wind,15500,500.0
3,T3: long+no wind,15750,500.0
3,T3: long+no wind,16000,500.0
3,T3: long+no wind,16250,500.0
3,T3: long+no wind,16500,500.0
3,T3: long+no wind,16750,500.0
3,T3: long+no wind,17000,498.6
3,T3: long+no wind,17250,500.0
3,T3: long+no wind,17500,500.0
3,T3: long+no wind,17750,500.0
